参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
长期需求弹性,long_elasticity,题面需求层,无量纲,-0.1,-0.10,0.5918113620126624,低,中长期高价下需求收缩强弱，绝对值越大代表需求越容易下降。,110.79263672185884,102.19269676269933,97.60639308987193,91.24526311675368,109.72237746076911,97.92097318622929,0.0,0.0,0.0,低,-1.891536843324289
恐慌衰减速度,fear_decay,题面行为层,日衰减率,0.04,0.040,-0.6505828080005328,中,冲突初期恐慌溢价消退速度，越大表示市场更快冷静。,111.37706436684624,105.66722970642019,101.03542219445886,93.14068720624026,111.08787210583078,100.90431198645443,0.0,0.0,0.0,低,0.0038872461622929677
恐慌衰减速度,fear_decay,题面行为层,日衰减率,0.08,0.080,-0.3011656160010657,中,冲突初期恐慌溢价消退速度，越大表示市场更快冷静。,111.01354535504191,105.5536925452732,100.99237093898476,93.13680318825001,110.78273275625837,100.83532612571534,0.0,0.0,0.0,低,3.228172047897715e-06
恐慌衰减速度,fear_decay,题面行为层,日衰减率,0.114,0.114,-0.004161002801518598,中,冲突初期恐慌溢价消退速度，越大表示市场更快冷静。,110.97874540269231,105.55040944331141,100.99198043064119,93.13679996071761,110.75825338772496,100.83263713490446,0.0,0.0,0.0,低,6.396447815859574e-10
恐慌衰减速度,fear_decay,题面行为层,日衰减率,0.16,0.160,0.3976687679978686,中,冲突初期恐慌溢价消退速度，越大表示市场更快冷静。,110.97328581758596,105.5502375905711,100.99197299214232,93.13679995278868,110.75497964281293,100.8323943271161,0.0,0.0,0.0,低,-7.289287395906285e-09
地缘风险权重,risk_weight,市场价格形成层,无量纲,1.85,1.85,-0.2770921340126883,低,市场把供应中断解释为长期地缘风险溢价的强度。,104.77398496998767,100.06842474900441,95.238165965396,88.699714222322,104.73074610722045,95.46285008236848,0.0,0.0,0.0,低,-4.4370857377559645
地缘风险权重,risk_weight,市场价格形成层,无量纲,2.22,2.22,-0.13251056081522591,低,市场把供应中断解释为长期地缘风险溢价的强度。,108.03898798954253,103.00837215508228,98.25256937673757,91.02060744890714,107.89504342498901,98.30423039425844,0.0,0.0,0.0,低,-2.116192511170823
地缘风险权重,risk_weight,市场价格形成层,无量纲,2.46,2.46,-0.038727918741196396,低,市场把供应中断解释为长期地缘风险溢价的强度。,110.11945253029204,104.80726752759661,100.19443214210548,92.51935231410936,109.92129529579265,100.10020313595932,0.0,0.0,0.0,低,-0.6174476459686105
地缘风险权重,risk_weight,市场价格形成层,无量纲,2.95,2.95,0.15274497549328084,低,市场把供应中断解释为长期地缘风险溢价的强度。,114.36706768117301,108.48286776077914,103.89498188125954,95.56408017539822,114.05936686844606,103.67317951054127,0.0,0.0,0.0,低,2.427280215320252
地缘风险权重,risk_weight,市场价格形成层,无量纲,3.2,3.20,0.25043522765372833,低,市场把供应中断解释为长期地缘风险溢价的强度。,116.58787147304037,110.36550382394559,105.55802842981821,97.11013267940254,116.20964607601798,105.45731315794974,0.0,0.0,0.0,低,3.973332719324574
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.17,0.17,-0.32632086738441285,中,前期冲击不确定性和持续封锁制度风险的共同强度。,105.19692189977823,101.43052997516779,97.18183584814713,90.8735501986978,105.27037649216719,97.24812768510016,0.0,0.0,0.0,低,-2.263249761380166
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.22,0.22,-0.1281799460268873,中,前期冲击不确定性和持续封锁制度风险的共同强度。,108.70753033768445,103.93149612051806,99.44502101056655,92.2202453416837,108.60216512508892,99.4110271745246,0.0,0.0,0.0,低,-0.9165546183942723
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.247,0.25,-0.02118384849382348,中,前期冲击不确定性和持续封锁制度风险的共同强度。,110.60325889634193,105.28279870400718,100.73219436761711,92.98278923634383,110.401809180229,100.5967219890345,0.0,0.0,0.0,低,-0.15401072373413172
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.3,0.30,0.18884552814515362,中,前期冲击不确定性和持续封锁制度风险的共同强度。,114.32450386480504,107.9368776015636,103.26401426303597,94.55551520487275,113.93536011798263,102.9479205553159,0.0,0.0,0.0,低,1.4187152447947824
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.34,0.34,0.34735826523117425,中,前期冲击不确定性和持续封锁制度风险的共同强度。,117.13299063638163,109.94123767083505,104.91562973561471,95.81217913317796,116.6029511984676,104.73404056540781,0.0,0.0,0.0,低,2.675379173099998
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.06,0.06,-0.75,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,111.99879849499558,105.55085442825524,100.99198041454201,93.1367999600781,111.1417618583284,100.84539903632144,0.0,0.0,0.0,低,1.2789769243681803e-13
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.12,0.12,-0.5,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,111.65872857113517,105.55070371546395,100.99198028521192,93.13679996007806,111.01388977075521,100.8411421518855,0.0,0.0,0.0,低,9.947598300641403e-14
