月份,月末收盘价,月均收盘价,月内最高价,月内最低价,月内交易日数,月度实现波动率,月内最大单日绝对收益,油价月度对数收益,油价月度收益率,GPR_全球综合,GPRT_威胁,GPRA_行动,GPRC_SAU_沙特,GPRC_RUS_俄罗斯,GPRC_USA_美国,GPRC_CHN_中国,数据下载日期,来源URL,GPR_历史标准分,GPR_历史分位数,GPR_全球综合_滞后1月,GPR_全球综合_滞后2月,GPRT_威胁_滞后1月,GPRT_威胁_滞后2月,GPRA_行动_滞后1月,GPRA_行动_滞后2月,GPRC_SAU_沙特_滞后1月,GPRC_SAU_沙特_滞后2月,GPR_历史标准分_滞后1月,GPR_历史标准分_滞后2月,是否冲突窗口月
2022-10-01,92.85,92.79238095238095,98.75,86.35,21,0.0994051339744328,0.037189211967973,0.08165053336875136,0.08507654551828914,143.16241455078125,185.2843017578125,112.6750259399414,0.3691923320293426,3.385209560394287,3.402249336242676,1.1814154386520386,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.8478341340273216,0.8971774193548387,131.98587036132812,132.86322021484375,170.31179809570312,159.38302612304688,108.6280746459961,111.15857696533205,0.1119293048977851,0.1243486478924751,0.6125829510039595,0.6310499822674958,False
2022-11-01,86.64,90.58272727272727,99.56,81.09,22,0.10788092873107842,0.0439932318104907,-0.06922368510597951,-0.06688206785137307,116.7162857055664,143.0465545654297,98.68260955810548,0.1653458029031753,2.4630823135375977,2.6968469619750977,1.1175096035003662,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.2911787858476916,0.7701612903225806,143.16241455078125,131.98587036132812,185.2843017578125,170.31179809570312,112.6750259399414,108.6280746459961,0.3691923320293426,0.1119293048977851,0.8478341340273216,0.6125829510039595,False
2022-12-01,85.99,81.80523809523811,89.37,75.11,21,0.09777411833432174,0.0396337790627635,-0.00753059226993009,-0.007502308402585478,111.19593811035156,119.1385269165039,109.772216796875,0.1611803323030471,2.2813217639923096,2.5540883541107178,0.8740933537483215,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1749829134509299,0.7278225806451613,116.7162857055664,143.16241455078125,143.0465545654297,185.2843017578125,98.68260955810548,112.6750259399414,0.1653458029031753,0.3691923320293426,0.2911787858476916,0.8478341340273216,False
2023-01-01,85.53,84.02809523809525,89.0,77.61,21,0.1022988846253398,0.0528741207858355,-0.005363818830114794,-0.005349459239446408,104.2670440673828,113.02135467529295,94.62993621826172,0.0442254245281219,1.971190333366394,2.4071266651153564,0.6696992516517639,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.0291390378287925,0.6633064516129032,111.19593811035156,116.7162857055664,119.1385269165039,143.0465545654297,109.772216796875,98.68260955810548,0.1611803323030471,0.1653458029031753,0.1749829134509299,0.2911787858476916,False
2023-02-01,83.11,83.306,86.95,79.1,20,0.08135574234921412,0.0330466830466831,-0.028702160027755365,-0.02829416578978139,120.99437713623048,147.05015563964844,103.02875518798828,0.1400934010744094,2.301534414291382,2.9753167629241943,1.4876583814620972,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.3812268412292068,0.8024193548387096,104.2670440673828,111.19593811035156,113.02135467529295,119.1385269165039,94.62993621826172,109.772216796875,0.0442254245281219,0.1611803323030471,0.0291390378287925,0.1749829134509299,False
2023-03-01,79.93,78.86826086956522,86.75,70.06,23,0.098791947086817,0.0429089966295048,-0.03901377992700721,-0.038262543616893185,105.37997436523438,125.08584594726562,86.75404357910156,0.3656091392040252,2.046231985092163,2.6241302490234375,1.4093643426895142,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.0525647197528339,0.6814516129032258,120.99437713623048,104.2670440673828,147.05015563964844,113.02135467529295,103.02875518798828,94.62993621826172,0.1400934010744094,0.0442254245281219,0.3812268412292068,0.0291390378287925,False
2023-04-01,80.26,83.36473684210526,87.49,77.36,19,0.09315893151906304,0.060678093331665,0.004120113200842988,0.004128612535968967,106.80965423583984,118.16682434082033,93.2484130859375,0.4150454103946686,1.8093385696411133,2.4448766708374023,1.225680947303772,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.0826575530296896,0.6955645161290323,105.37997436523438,120.99437713623048,125.08584594726562,147.05015563964844,86.75404357910156,103.02875518798828,0.3656091392040252,0.1400934010744094,0.0525647197528339,0.3812268412292068,False
2023-05-01,72.13,75.69608695652175,80.24,71.28,23,0.11048610458060283,0.0525188916876574,-0.10680131832318955,-0.10129578868676814,108.46768188476562,122.47150421142578,92.75943756103516,0.3332121670246124,1.90233850479126,2.508178949356079,1.0844541788101196,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1175567991010568,0.7056451612903226,106.80965423583984,105.37997436523438,118.16682434082033,125.08584594726562,93.2484130859375,86.75404357910156,0.4150454103946686,0.3656091392040252,0.0826575530296896,0.0525647197528339,False
2023-06-01,75.19,75.03909090909092,78.73,71.58,22,0.08850583013787558,0.039045842217484,0.04154819687435433,0.042423402190489456,110.52894592285156,129.40652465820312,95.2789077758789,0.2079637944698333,2.214202642440796,2.4588658809661865,1.058168649673462,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1609436273785153,0.7237903225806451,108.46768188476562,106.80965423583984,122.47150421142578,118.16682434082033,92.75943756103516,93.2484130859375,0.3332121670246124,0.4150454103946686,0.1175567991010568,0.0826575530296896,False
2023-07-01,85.23,79.9742857142857,85.58,74.56,21,0.05299755191319558,0.0234240863379937,0.12533524114427083,0.13352839473334233,107.44878387451172,123.80915069580078,91.76800537109376,0.0931445583701133,2.080228567123413,2.4838550090789795,0.9749130606651306,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.096110370023402,0.6995967741935484,110.52894592285156,108.46768188476562,129.40652465820312,122.47150421142578,95.2789077758789,92.75943756103516,0.2079637944698333,0.3332121670246124,0.1609436273785153,0.1175567991010568,False
