day_index,trade_date,physical_pressure,recovery_evidence,gap_pressure,spr_depletion_pressure,inventory_depletion_pressure,price_pressure,route_bottleneck_pressure,spr_exhaustion_pressure
104,2026-06-14,0.5826530785714029,0.4682061677371755,1.0,0.47058823529411764,0.10251281263736511,0.9973290561593444,0.013733894330953067,0.0
105,2026-06-15,0.5834031949649501,0.46743045012416184,1.0,0.48235294117647054,0.10503718478332902,0.9827526989247971,0.014230285214497873,0.0
106,2026-06-16,0.5841631433408951,0.4666462539506995,1.0,0.49411764705882355,0.1075522856260347,0.9682492342553133,0.01472465118022015,0.0
107,2026-06-17,0.5849343833033804,0.4658523619549265,1.0,0.5058823529411764,0.11005822196086701,0.9538282661194885,0.015215789053092288,0.0
108,2026-06-18,0.5857178972742187,0.4650479655916374,1.0,0.5176470588235293,0.11255511310680433,0.9394963141415815,0.0157026713895555,0.0
109,2026-06-19,0.5865143245907906,0.4642325494208621,1.0,0.5294117647058824,0.11504308876447356,0.9252576713119112,0.01618441209981769,0.0
110,2026-06-20,0.5873240600159466,0.4634058062261548,1.0,0.5411764705882354,0.11752228727297964,0.9111150347357636,0.016660240245953584,0.0
111,2026-06-21,0.5882739624802495,0.46245676785716505,1.0,0.5529411764705883,0.11999285416973848,0.8978614467769177,0.017129480273255226,0.0
112,2026-06-22,0.5893193212254223,0.461425911702794,1.0,0.5647058823529412,0.12245527018639579,0.8852304911454162,0.017564998636968254,0.0
113,2026-06-23,0.5904316583239044,0.4603376988826944,1.0,0.5764705882352941,0.12490989436501898,0.8730392151781061,0.017975918724241424,0.0
114,2026-06-24,0.591591496041766,0.4592088628218528,1.0,0.5882352941176471,0.12735700373183034,0.8611624823870627,0.018368418527801134,0.0
115,2026-06-25,0.5927855616417527,0.4580508094792919,1.0,0.6,0.12979682039749496,0.8495150169819639,0.018746640663616865,0.0
116,2026-06-26,0.5940048427889317,0.4568712868294931,1.0,0.611764705882353,0.13222952994720627,0.838038909539921,0.019113332224119928,0.0
117,2026-06-27,0.5952432416711813,0.45567554019108525,1.0,0.6235294117647059,0.13465529383838548,0.8266949684622297,0.019470290475998242,0.0
118,2026-06-28,0.5964966477119212,0.4544671081721745,1.0,0.6352941176470588,0.13707425769928172,0.8154567609901762,0.01981867106586699,0.0
119,2026-06-29,0.5977623012407522,0.45324836885275965,1.0,0.6470588235294117,0.13948655683791655,0.8043065240289359,0.02015919986033643,0.0
120,2026-06-30,0.5990383583788219,0.4520209132596592,1.0,0.6588235294117647,0.14189231986179074,0.7932323681956568,0.020492317772578428,0.0
121,2026-07-01,0.6003480604654036,0.4507657335255765,1.0,0.6705882352941177,0.14429215359185443,0.7823921674034239,0.02079142837019954,0.0
122,2026-07-02,0.6016844087652513,0.44948781253808845,1.0,0.6823529411764706,0.146686222198816,0.7717305889115437,0.021079343559923136,0.0
123,2026-07-03,0.6030413856346862,0.4481923285784224,1.0,0.6941176470588235,0.14907466749519183,0.7612089948833358,0.021357799390959498,0.0
124,2026-07-04,0.6044148115587896,0.44688287930768245,1.0,0.7058823529411764,0.15145761585000495,0.750800530200135,0.021627977833855172,0.0
125,2026-07-05,0.6058017972840818,0.44556195259772324,1.0,0.7176470588235294,0.15383518293386333,0.7404866075406211,0.021890677603882303,0.0
126,2026-07-06,0.6072003547054382,0.44423126095824506,1.0,0.7294117647058824,0.1562074769454198,0.7302544114064162,0.02214643493677515,0.0
127,2026-07-07,0.6086091222808071,0.44289197755861265,1.0,0.7411764705882353,0.15857460078296104,0.7200951371722709,0.022395608286238322,0.0
128,2026-07-08,0.6100271723319484,0.441544901888427,1.0,0.7529411764705882,0.16093665348856534,0.7100027556143097,0.02263843727734649,0.0
129,2026-07-09,0.6114538764556235,0.44019057548330764,1.0,0.7647058823529411,0.16329373119423984,0.6999731502949423,0.022875083447781552,0.0
130,2026-07-10,0.6128888119117969,0.4388293624360394,1.0,0.7764705882352941,0.16564592772965392,0.6900035178288462,0.023105658200988755,0.0
131,2026-07-11,0.6143316967503696,0.43746150520810834,1.0,0.788235294117647,0.167993335001828,0.6800919524816763,0.02333024183862553,0.0
132,2026-07-12,0.6157823449987581,0.4360871631977029,1.0,0.8,0.17033604322263707,0.6702371594134988,0.023548896406544784,0.0
133,2026-07-13,0.6172406357958314,0.4347064393182686,1.0,0.8117647058823529,0.17267414103598588,0.6604382573335137,0.02376167427342668,0.0
134,2026-07-14,0.6189470526095663,0.43295476424924323,1.0,0.8235294117647058,0.17500771557991035,0.6509812221537438,0.023968623780569964,0.0032451294983745
135,2026-07-15,0.6214652647106136,0.42999790640334734,1.0,0.8352941176470589,0.17733692259699618,0.6426972462120147,0.02416307220692271,0.0169217931720868
136,2026-07-16,0.6245178090675435,0.4263150142615267,1.0,0.8470588235294118,0.1796621081125067,0.6357198337815738,0.024326352833529907,0.03607344665146
137,2026-07-17,0.6282279126574015,0.42172870837830806,1.0,0.8588235294117648,0.1819836266499748,0.6302697995679238,0.024456917181220228,0.0621660347408729
138,2026-07-18,0.6327121259169473,0.4160779045725836,1.0,0.8705882352941177,0.18430186202147691,0.626608934015286,0.02455121701498708,0.0964475364121811
139,2026-07-19,0.6380365599345934,0.4092808734750966,1.0,0.8823529411764706,0.18661723772725824,0.6249618977221857,0.024604713253559618,0.1394254898171481
140,2026-07-20,0.6441638942765329,0.401410054933291,1.0,0.8941176470588236,0.18893021218848993,0.6254094384563317,0.02461342301383307,0.1902664955923951
141,2026-07-21,0.6509160649678951,0.39274108612464126,1.0,0.9058823529411765,0.19124125356860033,0.6277843140222252,0.02457602288884675,0.2464491600637426
142,2026-07-22,0.657984732513059,0.3837295985582925,1.0,0.9176470588235294,0.19355079310571466,0.631625670137663,0.024496026792403924,0.3040574574572597
143,2026-07-23,0.6650003669123966,0.37490328645755044,1.0,0.9294117647058824,0.1958591653737347,0.6362358978339528,0.024383023695577433,0.3587790560125284
144,2026-07-24,0.6716293741810372,0.3667186931252141,1.0,0.9411764705882353,0.19816655412978923,0.6408281148238529,0.024251965478370607,0.4071319216362872
145,2026-07-25,0.6776475818987331,0.3594602154636666,1.0,0.9529411764705882,0.20047296465511866,0.6446960700911177,0.02412039648991493,0.4472397750585056
146,2026-07-26,0.6829604491031626,0.3532214376172076,1.0,0.9647058823529412,0.20277823332133782,0.6473330763090679,0.024004754963930175,0.4788566730184901
147,2026-07-27,0.6875788075577349,0.3479502735886671,1.0,0.9764705882352941,0.20508206883488134,0.6484694764347971,0.023917362028896494,0.502866676063539
148,2026-07-28,0.691577424635528,0.3435144085578187,1.0,0.9882352941176471,0.20738410850554478,0.6480441382705336,0.02386509192851405,0.5206708486846837
149,2026-07-29,0.6950579119818555,0.3397555086914079,1.0,1.0,0.2096839722183731,0.646144289946497,0.02384968680287447,0.5337289274479787
150,2026-07-30,0.7140360270031425,0.31486747219377403,1.0,1.0,0.2119813033066671,0.6968306379933893,0.02386904426866654,0.7079494464584474
151,2026-07-31,0.7191238562832685,0.31078810746779834,1.0,1.0,0.21428961261371593,0.7291532567420191,0.0225932240002209,0.7013291169009793
152,2026-08-01,0.7223394388794049,0.30820917932222386,1.0,1.0,0.2166051101275399,0.7486381480434737,0.021702246340237985,0.6972039277045485
153,2026-08-02,0.7242676168596869,0.30665590731576053,1.0,1.0,0.21892443773801917,0.7592429256523971,0.021130766195926354,0.6948648111130965
154,2026-08-03,0.7253143526479101,0.3058023427061989,1.0,1.0,0.22124497497523055,0.7637470049269837,0.020800999907419793,0.6937776061909614
155,2026-08-04,0.7257596266149163,0.3054252605982689,1.0,1.0,0.22356480780021948,0.764081279521519,0.02064523437797483,0.6935556289532632
156,2026-08-05,0.7257958283975874,0.30537194029335624,1.0,1.0,0.22588259352661877,0.7615785112201898,0.020610983078834133,0.6939253520209814
157,2026-08-06,0.7255548419207294,0.3055379723067662,1.0,1.0,0.22819741748169786,0.7571547906120998,0.020659768725875938,0.69469597963363
158,2026-08-07,0.7251269137374586,0.30585202597342614,1.0,1.0,0.23050867266047803,0.7514379863969403,0.020764231483333173,0.6957356052732573
159,2026-08-08,0.7245737101220571,0.3062654051299852,1.0,1.0,0.2328159678161188,0.7448574967102488,0.02090526918940594,0.6969535817727229
160,2026-08-09,0.7239373162716448,0.3067448910368682,1.0,1.0,0.23511906059023113,0.7377064761870876,0.021069701745948244,0.6982878839298875
161,2026-08-10,0.7232464217514065,0.3072678408959932,1.0,1.0,0.23741781020815123,0.7301847652207542,0.021248509342553068,0.6996962121869069
162,2026-08-11,0.7225205633483291,0.30781883336814214,1.0,1.0,0.23971214459789314,0.7224284048449711,0.021435556846710058,0.7011497999629384
163,2026-08-12,0.7217730307628079,0.3083873744896274,1.0,1.0,0.2420020377988602,0.7145298782361558,0.021626691941527665,0.7026291347650984
164,2026-08-13,0.7210128539016153,0.3089663299549209,1.0,1.0,0.24428749456359844,0.706551965724384,0.021819117021546486,0.7041210167090404
165,2026-08-14,0.7202461604845402,0.3095508545869771,1.0,1.0,0.24656853992123662,0.6985372136091812,0.02201095613057691,0.7056165438467041
166,2026-08-15,0.7194771025387535,0.3101376618620304,1.0,1.0,0.24884521213232136,0.6905143969617669,0.022200958470318666,0.7071097360571256
167,2026-08-16,0.7187084881014878,0.3107245258330809,1.0,1.0,0.25111755794683366,0.682502925819702,0.022388296438114352,0.7085965970809368
168,2026-08-17,0.7179422115684069,0.3113099417535298,1.0,1.0,0.2533856294191016,0.6745158463260068,0.02257242856795072,0.7100744762561899
169,2026-08-18,0.7171795466454266,0.3118928949904526,1.0,1.0,0.2556494817715913,0.6665618831143789,0.022753006773945095,0.7115416347720633
170,2026-08-19,0.7164213456306061,0.3124727037749242,1.0,1.0,0.2579091719636071,0.6586468281709777,0.02292981370291247,0.7129969512261229
171,2026-08-20,0.7156681748889657,0.31304891226241066,1.0,1.0,0.2601647577329329,0.6507744846446123,0.02310272048189299,0.714439721922472
172,2026-08-21,0.7149204068949851,0.31362121784987906,1.0,1.0,0.2624162969544609,0.642947307826035,0.023271658244909177,0.7158695255237314
173,2026-08-22,0.7141782827317071,0.314189421804091,1.0,1.0,0.26466384721118663,0.63516684022131,0.023436598950307697,0.7172861313709883
174,2026-08-23,0.7134419545064459,0.3147533957435395,1.0,1.0,0.2669074655075272,0.6274340067147357,0.02359754245217094,0.7186894374093266
175,2026-08-24,0.712711514121779,0.3153130588963247,1.0,1.0,0.2691472080781201,0.6197493147210509,0.02375450777648369,0.7200794281705089
176,2026-08-25,0.7119870127811332,0.31586836267883317,1.0,1.0,0.2713831302608053,0.6121129898520031,0.02390752722164291,0.721456146335604
177,2026-08-26,0.7112684742058084,0.3164192802454774,1.0,1.0,0.27361528641289856,0.6045250678364702,0.02405664235497129,0.722819673487565
178,2026-08-27,0.7105559035857985,0.3169657994123734,1.0,1.0,0.2758437298568003,0.5969854567762809,0.024201901281743377,0.7241701170805
179,2026-08-28,0.7098492936376479,0.31750791786989535,1.0,1.0,0.2780685128456192,0.589493979294808,0.024343356768479207,0.7255076016131495
180,2026-08-29,0.7091486287013901,0.3180456399472704,1.0,1.0,0.2802896865425787,0.5820504010612403,0.024481064940182762,0.7268322626452141
