窗口起始,窗口终止,日收益波动率,实现波动率_46日,最大单日绝对收益,平均绝对日收益,累计收益率,价格区间比例,朴素上一日基准_RMSE
2021-11-02,2022-01-04,0.026472554535892614,0.1795456003587033,0.12031773454983667,0.01854051964740316,-0.046735640385301536,0.1933642525865145,2.0006395716500704
2021-11-03,2022-01-05,0.026038524099226513,0.17660186271451384,0.12031773454983667,0.017834728426200104,-0.014008355861391042,0.1998033914966823,1.999524399972894
2021-11-04,2022-01-06,0.026222659647506665,0.17785073076457353,0.12031773454983667,0.01819373529225815,0.012723903644224821,0.200864731315627,1.9759202589085478
2021-11-05,2022-01-07,0.0260609686241288,0.17675408888871563,0.12031773454983667,0.017772348640702047,-0.007510599636583737,0.19697153240460333,1.9749166190434264
2021-11-08,2022-01-10,0.02602820316332434,0.17653186272149063,0.12031773454983667,0.017723909519164468,-0.03202676864244747,0.19431166347992357,1.965564970224571
2021-11-09,2022-01-11,0.026370720487188137,0.17885492823687188,0.12031773454983667,0.018065811352810678,-0.017018779342723,0.19084507042253526,2.00002228248457
2021-11-10,2022-01-12,0.026068535412047043,0.17680540934128947,0.12031773454983667,0.017696721039836345,0.02562862669245658,0.19221470019342368,1.9939135649139437
2021-11-11,2022-01-13,0.02610306439587373,0.17703959630358404,0.12031773454983667,0.017867256101467457,0.017787996127783146,0.1924007744433689,1.9630516394456974
2021-11-12,2022-01-14,0.026373364607599464,0.1788728615340166,0.12031773454983667,0.018295868265388534,0.05515558267236109,0.21391092129347164,1.9936175334213988
2021-11-15,2022-01-17,0.026372500014490093,0.17886699757824773,0.12031773454983667,0.018251705485234106,0.053060727759522974,0.2140683947912864,1.991039710913569
2021-11-16,2022-01-18,0.02649734499916498,0.17971373746105102,0.12031773454983667,0.0185083753864356,0.09062923285309687,0.24171900012313752,2.013369444920414
2021-11-17,2022-01-19,0.026402264758470687,0.17906887189378737,0.12031773454983667,0.018401994083397363,0.09586276488395562,0.24760343087790104,2.0237862707225833
2021-11-18,2022-01-20,0.026372801946941832,0.17886904538376802,0.12031773454983667,0.018204923768880547,0.08094287852332238,0.2448241456722374,2.0039195288885416
2021-11-19,2022-01-21,0.026028249120131578,0.17653217441572228,0.12031773454983667,0.01771746653743047,0.11513831967213117,0.2514088114754098,2.0003907227035085
2021-11-22,2022-01-24,0.026049624123324948,0.17667714674077006,0.12031773454983667,0.017677550673956096,0.0940430925221798,0.24879594423320653,1.9793740776140416
2021-11-23,2022-01-25,0.025768905753646612,0.17477322212528665,0.12031773454983667,0.017247130007007706,0.07305654798570882,0.24183811753110748,1.9790225958241638
2021-11-24,2022-01-26,0.02585314229604875,0.17534454215249548,0.12031773454983667,0.017562419510648925,0.09296296296296291,0.24234567901234563,1.961877982289242
2021-11-25,2022-01-27,0.02585252024759551,0.17534032321462012,0.12031773454983667,0.01764461336931544,0.09755495183996032,0.24623363793529263,1.96239649408574
2021-11-26,2022-01-28,0.018123069754387107,0.12291663938145037,0.04815178102279851,0.014970885934874624,0.23788300835654597,0.2777158774373259,1.9623942785148527
2021-11-29,2022-01-31,0.01797409642917085,0.12190625313115028,0.04815178102279851,0.014630797869717525,0.21908271908271892,0.2780507780507781,1.4223228093203895
2021-11-30,2022-02-01,0.01655378498837858,0.112273232260889,0.04815178102279851,0.013693961815412797,0.27157504984334957,0.2900882939333524,1.405941584537009
2021-12-01,2022-02-02,0.016181419884902955,0.10974772925491674,0.04815178102279851,0.013297588631930144,0.2959094865100087,0.2959094865100088,1.3325996169631877
2021-12-02,2022-02-03,0.016124857560039133,0.10936410490307756,0.04815178102279851,0.01323600195205332,0.2923229743153115,0.2970058180786149,1.3436023933085066
