窗口编号,窗口起始,窗口终止,交易日数,累计收益率,窗口最高收盘价,窗口最低收盘价,价格区间比例,实现波动率,平均绝对日收益率,最大单日上涨,最大单日下跌,最大单日绝对收益,是否冲突窗口,朴素上一日基准_RMSE,朴素上一日基准_MAE,朴素上一日基准_MAPE,三日均值基准_RMSE,三日均值基准_MAE,三日均值基准_MAPE,漂移随机游走基准_RMSE,漂移随机游走基准_MAE,漂移随机游走基准_MAPE,实现波动率_历史标准分,平均绝对日收益率_历史标准分,最大单日绝对收益_历史标准分,价格区间比例_历史标准分,朴素上一日基准_RMSE_历史标准分,历史压力综合分
379,2019-02-21,2019-04-26,46,0.05816721213924425,73.74,64.92,0.12853965618841828,0.07713068257299578,0.007879086713049866,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.791279920788768,0.5410869565217375,0.788028349745946,0.8892998182090603,0.6445289855072462,0.9342293204083448,0.8478912977367908,0.6053079710144919,0.8812936511474899,-0.9001478258612762,-1.0991340858938858,-0.7242546702377896,-0.5705351630817472,-0.9234901991242045,-0.8618552609607147
380,2019-02-22,2019-04-29,46,0.06390585431252793,73.74,64.92,0.12836518839359998,0.07713605379273329,0.007938611817392636,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7923232212654899,0.5454347826086942,0.7939409693115247,0.9107127126199229,0.671268115942029,0.9712668964139044,0.8720139580277194,0.622666666666665,0.9068161731644175,-0.9000749555273229,-1.0912885195063415,-0.7242546702377896,-0.5719090589426412,-0.9221428638384007,-0.8600610430357178
381,2019-02-25,2019-04-30,46,0.06891408114558462,73.74,64.92,0.1281778288877164,0.07711223685146315,0.00798251879543797,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7930020012036818,0.5486956521739117,0.7983032881327975,0.9066913093411588,0.6686231884057976,0.9662084957062542,0.8430823493740616,0.615673913043477,0.8943121069114147,-0.9003980755166207,-1.0855014635249276,-0.7242546702377896,-0.5733844742185704,-0.921266276333241,-0.8589414874404897
382,2019-02-26,2019-05-01,46,0.10982747997535425,73.74,65.0,0.12672975205048503,0.06930854632788126,0.007413376513639671,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.73106384661402,0.5110869565217377,0.7390800959791677,0.8772204744929093,0.6635869565217386,0.9555683156506114,0.8037560331777085,0.5958043478260859,0.8610556678673753,-1.0062692858396756,-1.1605159234760476,-0.7242546702377896,-0.5847877637196538,-1.0012542213962232,-0.919047307057348
383,2019-02-27,2019-05-02,46,0.06931144550843582,73.74,65.0,0.12654785362199314,0.07304125660679593,0.007634976879454906,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7621194702646837,0.5291304347826072,0.7628648690828312,0.8767701211894886,0.656014492753624,0.9414069098874709,0.8040699746630199,0.5910072463768101,0.8510200205285171,-0.9556283033686519,-1.1313084084165854,-0.7242546702377896,-0.586220174201304,-0.9611484814864236,-0.8928531155366295
384,2019-02-28,2019-05-03,46,0.0648412817812547,73.74,65.0,0.1263764070549996,0.07265153373794427,0.007543159017539106,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7581513557732851,0.5236956521739119,0.7538322244027066,0.8813660414571327,0.6556159420289852,0.9398131002063419,0.8191402851546771,0.6131449275362307,0.8823309125300258,-0.9609156006661568,-1.143410245770362,-0.7242546702377896,-0.5875702785515207,-0.9662729693896295,-0.8980754673650285
385,2019-03-01,2019-05-06,46,0.06962025316455711,73.74,65.0,0.1261931441880027,0.07260025075744132,0.0075686106493572545,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7585512507405158,0.5256521739130424,0.7563541158158392,0.8777063048012832,0.6480434782608696,0.9280870339625183,0.8034926164326817,0.6036050724637668,0.8671286898458961,-0.9616113472745612,-1.1400556532953825,-0.7242546702377896,-0.5890134336890339,-0.965756538493654,-0.8976825944360469
386,2019-03-04,2019-05-07,46,0.07492307692307709,73.74,65.55,0.11807144334614102,0.07124211399859376,0.007463044003423985,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7496506432709323,0.5202173913043467,0.7454053543079647,0.8679056430937706,0.6506884057971013,0.9300292973972977,0.7876006664437313,0.580076086956521,0.8288546775223288,-0.9800369347589588,-1.153969616792373,-0.7242546702377896,-0.6529700577850408,-0.9772509284382818,-0.9180707447212634
387,2019-03-05,2019-05-08,46,0.07276887871853543,73.74,65.57,0.11760729764829217,0.07107651713045307,0.0074191090894198085,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7481992875651808,0.5180434782608683,0.7410766061227987,0.8614667023321652,0.6335507246376814,0.9034209041247316,0.7944183680393234,0.5893695652173905,0.8411526955431005,-0.9822835565083455,-1.159760354807143,-0.7242546702377896,-0.6566251040002488,-0.9791252329155073,-0.9209141925572233
388,2019-03-06,2019-05-09,46,0.07244166539576025,73.74,65.81,0.11398306408774166,0.07108240203926912,0.007412476250232997,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7481934764891165,0.5176086956521727,0.7404135245173458,0.860803046032001,0.6329710144927538,0.9023992309516824,0.7973996461324617,0.6017608695652167,0.8592124581091782,-0.9822037170507052,-1.1606345805771368,-0.7242546702377896,-0.6851651534285074,-0.9791327374341046,-0.9256654663855859
389,2019-03-07,2019-05-10,46,0.07477627787046859,73.74,65.81,0.11380774546600388,0.07123576353702067,0.007460060276194292,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7505432814910177,0.5215217391304334,0.7451098804662046,0.8645031523847045,0.6394202898550724,0.9106215202523058,0.8002982328316308,0.603235507246376,0.860118166297977,-0.9801230902838123,-1.1543628799427923,-0.7242546702377896,-0.6865457493659641,-0.9760981608529004,-0.9234725868914343
390,2019-03-08,2019-05-13,46,0.05840520502345292,73.74,65.81,0.11367085373111993,0.07265485535513863,0.007686482184531834,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7620766822080425,0.5378260869565203,0.7681280352723162,0.8683443905941517,0.6494927536231884,0.9248767021411121,0.8110033063574439,0.6200253623188395,0.8838346528778438,-0.9608705369067042,-1.1245198728104175,-0.7242546702377896,-0.6876237419441561,-0.961203738682035,-0.9091303731378311
391,2019-03-11,2019-05-14,46,0.07871144203008651,73.74,66.63,0.10175249745665423,0.07364616925680101,0.007917593395208226,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7762535444153486,0.554347826086955,0.7907264660443036,0.8741369795044698,0.6588405797101448,0.9375647944124059,0.8333666326680261,0.6402101449275351,0.9115648585293007,-0.9474215665430136,-1.09405880321151,-0.7242546702377896,-0.7814782001334288,-0.9428955071417827,-0.9110681007047758
392,2019-03-12,2019-05-15,46,0.07984391415278425,73.74,66.7,0.10058423588096611,0.0738062709495398,0.00794070032929427,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7797351835859017,0.5573913043478249,0.792978271053662,0.8784118093259474,0.6552536231884057,0.9290639530556702,0.8346437540987411,0.6450615942028982,0.9168802160420011,-0.9452494968109036,-1.0910132481068813,-0.7242546702377896,-0.7906780054324586,-0.9383992614181523,-0.9107543743553441
393,2019-03-13,2019-05-16,46,0.0910044977511244,73.74,66.79,0.09911149966208452,0.07441804498738078,0.008165618275334487,0.0306465155331656,-0.0338223308883456,0.0338223308883456,False,0.7889853142403583,0.5736956521739115,0.8151932809764504,0.9169440950406689,0.6899999999999996,0.9762795497047669,0.8300640584819797,0.6450398550724626,0.9155914917599598,-0.9369496728193293,-1.0613684671881067,-0.7242546702377896,-0.8022754821898017,-0.9264534915204875,-0.9018836179468961
