方案,buffer_lag_days,relief_lag_days,buffer_alpha,relief_alpha,risk_alpha,RMSE,MAE,平均误差,最大绝对误差,峰值误差,末日误差,初始冲击吸收_RMSE,初始冲击吸收_MAE,高位平台形成_RMSE,高位平台形成_MAE,中期再定价回落_RMSE,中期再定价回落_MAE,后期二次抬升_RMSE,后期二次抬升_MAE,优化目标
buffer_lag1_relief_lag0_ba1.0_ra0.4,1,0,1.0,0.4,1.0,3.6742567459892195,3.0993303561717416,0.03869647136788594,6.921639941519572,-4.321826608944804,-0.5718266089448036,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,4.241875258207329,3.770406526004321,2.9209488869433797,2.5184098926382235,4.885856766828442
buffer_lag2_relief_lag1_ba0.75_ra1.0,2,1,0.75,1.0,1.0,3.7253793667554254,3.0684112470167575,0.02001588520537498,8.958271396319105,-4.045999898170805,-0.2959998981708054,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,3.722182806114337,3.2899592663457127,2.643789800749928,2.2091383002695033,4.886821110492827
buffer_lag2_relief_lag0_ba1.0_ra0.55,2,0,1.0,0.55,1.0,3.7099222435517545,3.046784625537885,0.019817353230756396,8.527474763110177,-4.062816318106712,-0.3128163181067123,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,3.88061369155015,3.339876262789518,2.6558809174733256,2.228973989450728,4.888772351551689
buffer_lag0_relief_lag1_ba1.0_ra0.55,0,1,1.0,0.55,1.0,3.670163298452668,3.1258693277594016,0.02849419666601056,7.2483499217499485,-4.2235061585035965,-0.47350615850359645,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,4.488330052668726,4.08910085834914,3.0907804459439006,2.651832679448397,4.889874617651913
buffer_lag2_relief_lag0_ba1.0_ra1.0,2,0,1.0,1.0,1.0,3.730172381199482,2.964219791348599,0.007114185733829251,8.527474763110177,-3.8433971350206377,-0.09339713502063773,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,3.9289643929617943,3.1330820426358876,2.6932593897902253,2.1192696785454217,4.907721670327442
buffer_lag0_relief_lag1_ba0.75_ra0.55,0,1,0.75,0.55,1.0,3.6901858664564364,3.142496002459724,0.030047250346922037,7.15377068287691,-4.239673146268117,-0.4896731462681174,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,4.440981340130761,4.0378570857266896,3.1065225406773833,2.661944416021953,4.911474952265549
buffer_lag2_relief_lag0_ba0.75_ra0.75,2,0,0.75,0.75,1.0,3.7491855644435046,2.97653134364376,0.013406618462029918,8.958271396319105,-3.9313975119998616,-0.18139751199986165,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,3.849187912656826,3.1342301613594166,2.5903916342668594,2.012661108992642,4.930298210180856
buffer_lag1_relief_lag0_ba0.75_ra0.4,1,0,0.75,0.4,1.0,3.7166491117589606,3.1279188355275602,0.04030936068497041,7.167771525966984,-4.341277689724578,-0.5912776897245777,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,4.19914584092136,3.7379367910775776,2.9344460597731037,2.5338318529583623,4.935801539356316
buffer_lag2_relief_lag1_ba1.0_ra0.75,2,1,1.0,0.75,1.0,3.7544019852086805,3.131875553555631,0.02541591145481973,8.527474763110177,-4.1341020516540254,-0.38410205165402544,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,3.9105428933560735,3.5070589685929647,2.844860277974966,2.3879731743819668,4.942802220247166
buffer_lag0_relief_lag1_ba0.55_ra0.55,0,1,0.55,0.55,1.0,3.723180300566833,3.1694101249825657,0.03276787941545902,6.987005108512889,-4.265033828019398,-0.5150338280193978,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,4.361429625433086,3.9507287287121593,3.1342428829774387,2.680799518506484,4.945975000658627
buffer_lag2_relief_lag1_ba0.55_ra1.0,2,1,0.55,1.0,1.0,3.7775742684793867,3.095344669804553,0.023352156118177016,9.302908702886256,-4.072766120829172,-0.3227661208291721,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,3.6878546403474464,3.2203899017492397,2.671702618635333,2.2465495267475304,4.947204372770682
buffer_lag2_relief_lag0_ba0.75_ra0.55,2,0,0.75,0.55,1.0,3.76765684967462,3.0777434834039563,0.02187829167348593,8.958271396319105,-4.078210991026921,-0.3282109910269213,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,3.866557136556541,3.292310482128412,2.666149718213417,2.2425606573043972,4.959584014143268
buffer_lag2_relief_lag0_ba0.75_ra1.0,2,0,0.75,1.0,1.0,3.7945210722210927,2.995570476026086,0.009834783922496525,8.958271396319105,-3.858767461485286,-0.10876746148528582,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,3.951924755633064,3.106335213227581,2.6869422373300154,2.1135393979233945,4.992549584027963
buffer_lag1_relief_lag0_ba0.55_ra0.4,1,0,0.55,0.4,1.0,3.7675215418692236,3.1626655345452104,0.04343231809044506,7.800324946016104,-4.368915239376307,-0.6189152393763067,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,4.137400438837238,3.681940072737323,2.9570962558252507,2.558032801208507,4.9936207675005235
buffer_lag1_relief_lag1_ba1.0_ra0.55,1,1,1.0,0.55,1.0,3.761100787894957,3.188846604412668,0.032797233614158844,6.98615801756948,-4.268734742018637,-0.518734742018637,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,4.37899921021824,3.954954333174612,3.134495272190766,2.67700770372482,4.997471005790054
