参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率
behavior,pressure_scale,缺口价格传导系数,0.1,0.026215856764507,0.028837442440957702,3.3824346689358626,2.758373128348432,2.757825319595147,66.66666666666666,7.235760011889923,6.510911811924755,3.727560948001775,3.7770550202010167,2.7550663237557202,-0.07161058861516867,-0.09237299237729431
assumption,fear_decay,恐慌衰减速度,-0.1,0.12,0.108,3.37782307794583,2.762053648948198,2.764560019692024,66.66666666666666,7.179681350390055,6.514161138767546,3.706992670848054,3.7746102658986675,2.7579534563194597,0.06482644060133276,-0.14232495666701928
behavior,pressure_scale,缺口价格传导系数,0.15,0.026215856764507,0.030148235279183047,3.38421133186535,2.7593482212826834,2.7590534694689786,66.66666666666666,7.235746234684669,6.515007047862337,3.726538484228893,3.7770537568846634,2.7550663296064988,-0.12417435945743505,-0.15532913351339392
assumption,fear_decay,恐慌衰减速度,-0.15,0.12,0.102,3.3778776990835255,2.7679872049650696,2.772452938779753,66.66666666666666,7.142568194277914,6.521452437924331,3.696265646486539,3.7735060778381375,2.760145912745139,0.06321043740943941,-0.2544142393790367
behavior,buffer_relief_strength,缓冲确认折价强度,-0.05,0.20703750524313,0.1966856299809735,3.38204222525398,2.7761202754835694,2.778572364277793,66.66666666666666,7.03489710037249,6.522908192860708,3.735252716885637,3.7706718186310657,2.7663418505942787,-0.05999987764653235,-0.27679358812255866
behavior,uncertainty_floor,不确定性溢价平台,0.05,0.2958766054506273,0.3,3.3894292655740164,2.793993490952647,2.799180455636594,66.66666666666666,6.987920192393673,6.5236866892970555,3.697711812330455,3.793230297782852,2.8122060196576864,-0.278550446885356,-0.28876142886913736
behavior,uncertainty_floor,不确定性溢价平台,0.1,0.2958766054506273,0.3,3.3894292655740164,2.793993490952647,2.799180455636594,66.66666666666666,6.987920192393673,6.5236866892970555,3.697711812330455,3.793230297782852,2.8122060196576864,-0.278550446885356,-0.28876142886913736
behavior,uncertainty_floor,不确定性溢价平台,0.15,0.2958766054506273,0.3,3.3894292655740164,2.793993490952647,2.799180455636594,66.66666666666666,6.987920192393673,6.5236866892970555,3.697711812330455,3.793230297782852,2.8122060196576864,-0.278550446885356,-0.28876142886913736
behavior,adjustment_speed,价格调整速度,-0.05,0.45,0.4275,3.383181322521443,2.757706240337704,2.7538158594620485,66.66666666666666,7.191650349880874,6.5256215978909164,3.7828892751166636,3.7879062299703397,2.7160196379492327,-0.09370083844231043,-0.3185068160402824
behavior,relief_start_day,预期修复开始日,0.05,29.0,30.0,3.3831438914111067,2.768528458616121,2.7730270511466215,68.88888888888889,6.5099761082182255,6.537369270873225,3.7296250092539993,3.782543841422742,2.7622552983119975,-0.09259341380175166,-0.49910401961231365
