模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,平均误差,说明,初始冲击吸收_RMSE,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,candidate_id,base_column,shrinkage,max_abs_correction,regularized_score
阶段Ridge+在线反馈,3.1750836960459656,2.689913311828211,2.6910075312554937,68.88888888888889,5.967583031204086,0.003928516057781473,只用上一日以前误差的一阶反馈,3.316298195166862,3.4445404987620307,3.3343886465809205,2.730911072032628,45,enhanced_short_term_price,0.5,1.5,4.280992521995239
阶段Ridge+在线反馈,3.18145834275414,2.682043330677021,2.6842046042233227,73.33333333333333,5.815558374620508,0.0210804375866041,只用上一日以前误差的一阶反馈,3.316800791584517,3.438999275666465,3.343919200034184,2.7550663120150225,30,enhanced_short_term_price,0.0,2.0,4.28173008472925
阶段Ridge+在线反馈,3.1779206563721187,2.6838860310204775,2.6857559715642734,71.11111111111111,5.86116577159558,0.015934861127957868,只用上一日以前误差的一阶反馈,3.3142926191860873,3.4402401158655045,3.339285937381782,2.7456743357250084,34,enhanced_short_term_price,0.15,2.0,4.28709966808085
阶段Ridge+在线反馈,3.1763352766149953,2.685114497916114,2.686790216458239,71.11111111111111,5.89157070291229,0.012504476822193404,只用上一日以前误差的一阶反馈,3.3137427973027678,3.4412682254328657,3.3370405902088907,2.740429946379847,38,enhanced_short_term_price,0.25,2.0,4.2915874272814
阶段Ridge+在线反馈,3.1768734516469936,2.694747117282686,2.695320894166964,66.66666666666666,6.0283928938375055,-0.002932252553745909,只用上一日以前误差的一阶反馈,3.3223764076875257,3.447878820139857,3.335317606353812,2.7270175463976076,49,enhanced_short_term_price,0.7,1.5,4.295795700170604
阶段Ridge+在线反馈,3.1753694925604172,2.686342964811753,2.6878244613522067,71.11111111111111,5.921975634229014,0.009074092516428014,只用上一日以前误差的一阶反馈,3.31409143761543,3.442456876511487,3.3354716883271442,2.7360046633291937,42,enhanced_short_term_price,0.35,2.0,4.296803013431081
阶段Ridge+在线反馈,3.182905681719471,2.701077294482182,2.7008862397801483,66.66666666666666,6.119607687787649,-0.0123028744888245,只用上一日以前误差的一阶反馈,3.332490172738618,3.454082735659798,3.3417889703188313,2.7274113226242442,52,enhanced_short_term_price,1.0,1.0,4.297160531993496
阶段Ridge+在线反馈,3.1750836960459656,2.689913311828211,2.6910075312554937,68.88888888888889,5.967583031204086,0.003928516057781473,只用上一日以前误差的一阶反馈,3.316298195166862,3.4445404987620307,3.3343886465809205,2.730911072032628,46,enhanced_short_term_price,0.5,2.0,4.305992521995239
阶段Ridge+在线反馈,3.1768734516469936,2.694747117282686,2.695320894166964,66.66666666666666,6.0283928938375055,-0.002932252553745909,只用上一日以前误差的一阶反馈,3.3223764076875257,3.447878820139857,3.335317606353812,2.7270175463976076,50,enhanced_short_term_price,0.7,2.0,4.320795700170604
阶段Ridge+在线反馈,3.184199130970025,2.701997825464398,2.701790938534168,66.66666666666666,6.119607687787649,-0.013223405471040535,只用上一日以前误差的一阶反馈,3.3381692850065368,3.454082735659798,3.3417889703188313,2.7274113226242442,53,enhanced_short_term_price,1.0,1.5,4.32345398124405
