day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,inventory_remaining_ratio,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,inventory_relief_discount,spr_credibility_discount,spr_credibility,asymmetric_adjustment_speed,literature_challenger_note
46,33,calendar,2026-04-17,92.42,93.56150762834373,9416.384960224605,9169.4071615431,642.366630639799,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.384481053188447,-0.021103438769390914,52978.84140653793,0.913428300112723,430.0,-0.160154722534064,1.0006884814981913,0.0,18.0033761056517,19.979159720344008,0.022681678717163836,1.2435284945646141,17.55775322192811,0.0,0.0,0.9877226600969315,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
49,34,calendar,2026-04-20,93.8,97.35308363286718,9416.384960224605,9167.849601313736,640.8090704104343,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.3878461937994782,0.0033651406110311033,52978.84140653793,0.913428300112723,430.0,-0.16733872617758988,1.000480337242226,0.0,17.79731815780691,20.237372326147863,0.015824470276514353,0.968504088617262,8.303622425796155,0.0,0.0,0.9909047228983042,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
50,35,calendar,2026-04-21,99.06,100.19098192658464,9416.384960224605,9097.753625863861,570.7130949605598,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.11215380620052184,52978.84140653793,0.913428300112723,430.0,-0.1697333940587652,1.0004260209166467,0.0,17.728424859230337,20.31431274623251,0.014035046088463789,0.8913489263258871,6.715597682288451,0.0,0.0,0.99177025295098,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
51,36,calendar,2026-04-22,101.55,102.5423027754364,9416.384960224605,9044.278255414765,517.237724511464,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.17212806193994046,1.000377846657443,0.0,17.65951241367376,20.38709526515325,0.012447969206125736,0.8200833831877096,5.0325652615946295,0.0,0.0,0.9925534169290756,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
52,37,calendar,2026-04-23,106.01,104.36533608367209,9416.384960224605,8998.912919675964,471.8723887726628,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.17452272982111577,1.0003351199224313,0.0,17.59062107606838,20.455944578097206,0.011040358284538764,0.7545149702631608,3.919365766587847,0.0,0.0,0.9932620530009145,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
53,38,calendar,2026-04-24,105.88,105.78306575284508,9416.384960224605,8961.981333551463,434.9408026481615,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.1769173977022911,1.0002972247079553,0.0,17.52178545296036,20.52107323760427,0.009791919391237018,0.6941884932125765,3.052405128161873,0.0,0.0,0.9939032534344844,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
56,39,calendar,2026-04-27,101.97,107.34130703573098,9416.384960224605,8914.846560732456,387.8060298291548,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.18410140134581698,1.000207366642264,0.0,17.315889700031565,20.696092214979867,0.006831590346061926,0.5406360466644377,1.4418540879588189,0.0,0.0,0.9954834190573874,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
57,40,calendar,2026-04-28,104.48,108.35384005738587,9416.384960224605,8881.186193131138,354.1456622278365,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.1864960692269923,1.0001839177129173,0.0,17.24753493949511,20.748243168649005,0.00605907709320196,0.49740940344429335,1.1229170927770342,0.0,0.0,0.995913228561536,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
58,41,calendar,2026-04-29,112.49,109.0316185347268,9416.384960224605,8856.174436575919,329.1339056726174,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.18889073710816762,1.0001631203782606,0.0,17.179347820986976,20.79757585708484,0.005373919301605608,0.457638893969457,0.8745287111790199,0.0,0.0,0.996302136283517,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
59,42,calendar,2026-04-30,110.86,109.4980426369169,9416.384960224605,8836.400314690543,309.3597837872421,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.19128540498934288,1.0001446747971243,0.0,17.111342047997944,20.844242580837353,0.004766238853862807,0.42104820756006406,0.681083645084647,0.0,0.0,0.9966540345425288,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
60,43,calendar,2026-05-01,109.2,109.82663212987909,9416.384960224605,8819.915399206828,292.87486830352645,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.1936800728705182,1.0001283150342475,0.0,17.04352930624967,20.888387410053895,0.004227274645766288,0.3873831170825344,0.53042847612905,0.0,0.0,0.9969724452546241,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
63,44,calendar,2026-05-04,114.06,110.13362615593103,9416.384960224605,8814.548873840953,287.50834293765183,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.1936800728705182,1.0000895223616735,0.0,16.84134139990708,21.007016949251796,0.002949269444151442,0.30169435634945824,0.25055667074474897,0.0,0.0,0.9977571322805142,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
64,45,calendar,2026-05-05,110.31,110.32396669688613,9416.384960224605,8809.55233517583,282.511804272528,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,0.913428300112723,430.0,-0.1936800728705182,1.0000793992121113,0.0,16.774386194278705,21.042365365150854,0.0026157673434033654,0.2775722198421112,0.19513373137977463,0.0,0.0,0.9979705693637043,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
