day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id
29,21,calendar,2026-03-31,103.53,103.52762896534875,9543.131646892502,9281.836668893095,703.4592184064422,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3714429652245133,1.315576093184639,1.315576093184639,0.03008216186762458,54489.3741909565,274.8351294039737,430.0,443.32820170293235,-0.13389380694775624,1.0041737614686503,0.0,21.57727185746233,16.85880693534775,0.13750248470394752,6.594328400041032,0.0,36003
30,22,calendar,2026-04-01,100.24,103.86515594271384,9543.131646892502,9269.103577597292,690.7261271106399,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3967246330198773,1.3439780821269725,1.3439780821269725,0.028401988942333478,54489.3741909565,267.97884947546504,430.0,462.9175729272429,-0.13678669684250644,1.003710487832594,0.0,21.537292450614835,17.08609588306574,0.12224016640089433,6.212930685978579,1.1818271062414738,36003
31,23,calendar,2026-04-02,109.24,103.8758910608129,9543.131646892502,9260.077712676357,681.7002621897045,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4152175815613468,1.3689119069290034,1.3689119069290034,0.02493382480203099,54489.3741909565,263.1187683641924,430.0,476.80351895945023,-0.13967958673725667,1.0032986360287333,0.0,21.49116835501698,17.301102015337428,0.10867191464860379,5.848656955802587,2.3612381526716466,36003
35,24,calendar,2026-04-06,109.7,102.89993776146369,9543.131646892502,9234.978959307085,656.6015088204331,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.469314619972477,1.4040528564942192,1.4040528564942192,0.03514094956521574,54489.3741909565,249.6040550115079,430.0,515.416985681406,-0.15125114631625752,1.0020603829324366,0.0,21.2612167160406,18.05104725621956,0.06787828551765697,4.571968462766575,7.110222476064451,36003
36,25,calendar,2026-04-07,103.42,101.9908316346359,9543.131646892502,9237.710449441694,659.3329989550421,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4632275313610281,1.4247639926976023,1.4247639926976023,0.020711136203383163,54489.3741909565,251.07485739168135,430.0,511.2146931666248,-0.15414403621100775,1.0018316872822546,0.0,21.195465100666112,18.21390690380687,0.06034402167023237,4.29683443277884,8.25464971310533,36003
37,26,calendar,2026-04-08,96.7,101.11391373875723,9543.131646892502,9240.232026321284,661.8545758346318,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.457652831347802,1.4362750862251723,1.4362750862251723,0.01151109352756996,54489.3741909565,252.43262955761494,430.0,507.3353441211002,-0.15703692610575798,1.0016283760883251,0.0,21.127364042698076,18.3679655295449,0.053646036041824406,4.037687123712416,9.404158280659386,36003
38,27,calendar,2026-04-09,96.41,100.24917348036321,9543.131646892502,9242.835691605716,664.458241119064,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4519410501719936,1.4417581736065597,1.4417581736065597,0.005483087381387364,54489.3741909565,253.83460317230876,430.0,503.329705221975,-0.15992981600050815,1.0014476317604635,0.0,21.057279664696924,18.513698745328558,0.047691504532592105,3.7938167105504776,10.557662155155498,36003
39,28,calendar,2026-04-10,94.26,99.38402450519295,9543.131646892502,9245.702474711476,667.3250242248232,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4457036097612637,1.4431390762607061,1.4431390762607061,0.0013809026541464764,54489.3741909565,255.3782556138711,430.0,498.91926967465406,-0.16282270589525838,1.0012869494516212,0.0,20.985527902664224,18.651556460733342,0.04239790620893194,3.564447370375779,11.713984009260654,36003
42,29,calendar,2026-04-13,98.0,97.88428898229812,9543.131646892502,9238.04034079525,659.6628903085984,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4624957847098625,1.4499139242179109,1.4499139242179109,0.006774847957204733,54489.3741909565,251.2524911974423,430.0,510.7071680073077,-0.171501375579509,1.0009042148772194,0.0,20.762812409684678,19.02201881257807,0.0297889070225516,2.9557090124104612,15.25727677776901,36003
43,30,calendar,2026-04-14,95.34,96.57381514797396,9543.131646892502,9248.951885114731,670.574434628079,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.438698146822331,1.445988402129458,1.445988402129458,-0.003925522088452871,54489.3741909565,257.12793813870144,430.0,493.92017674656745,-0.17439426547425924,1.000803850034357,0.0,20.686767892063813,19.13240664158334,0.026482437456877006,2.77670115855724,16.391821619713635,36003
