sample_id,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
601,4.415033241007712,3.680398435207801,-3.39661240749939,0.35338759250061,2.161768131445169,4.732914851559551,3.193023441635631,4.655452975483766,4.786295279227134,110.66338759250061,114.06,110.66338759250061,110.31,8.162242833945449,3.6617681314451693,10000.0,10000.0,-0.05,-0.25,1426.3555719589847,607.3793287011586,4,7,10,282.24329293759496,25,58000.0,274.69558618149904,430.0,21,0.14806683458991654,0.09953136582972552,0.028365433002140512,2.2404215307518207,0.27731178003056206,0.7211230158722538,0.3278400464539522,0.19451753326052157,11,0.20453824884247077,27,42,4
602,5.047760711802675,3.9684826027623217,-3.062487684308067,0.6875123156919329,1.822282891598386,5.5173222402863695,3.257898934585006,5.205049461570002,5.673775675170662,110.99751231569194,114.06,110.99751231569194,110.31,9.135430193647895,3.322282891598386,10000.0,10000.0,-0.05,-0.2221232974662532,1400.0,624.6655472439462,4,7,11,268.7774855899389,24,58000.0,300.97139339592616,430.0,21,0.1365857952161038,0.10131688122415974,0.030592809085558705,2.4131316228978927,0.2664172397343886,0.6175351058821777,0.39887318619940554,0.18236695282743648,12,0.23868208872925994,24,40,4
603,5.6756648520257125,4.67887742874389,0.010389946004480066,3.76038994600448,2.365413713193697,6.773168212124936,3.6866648565146956,5.151899703395399,6.763735324772979,114.07038994600448,114.06,114.07038994600448,110.31,10.469922768537618,3.873725669997281,10000.0,10000.0,-0.05,-0.24016512615511043,1481.9402658831714,657.95911699344,4,7,11,265.2330460874202,23,58000.0,289.96105642923357,430.0,21,0.12451674904648273,0.1135578916308713,0.03167789099814675,2.621026564228052,0.2731179417473593,0.6801238503891084,0.36276096109334355,0.18855545535276383,13,0.23089498775836642,30,43,4
604,4.772662925810561,3.7554067573098626,-4.953648321397694,-1.2036483213976936,3.3454829916573567,4.2253509698608465,3.2330259942134325,5.896007942223976,4.609227605565727,109.10635167860231,114.06,109.10635167860231,110.31,9.251835335137399,5.808401648775512,10000.0,10000.0,-0.05,-0.25,1400.0,597.8733340489817,5,7,11,220.34673127493585,26,58000.0,277.9957828268227,430.0,21,0.13838318492796467,0.09719515289343778,0.029881802268426957,2.297576843438815,0.2525015781245743,0.7317005524000804,0.3424576069400541,0.22,11,0.2282265961685376,25,40,4
605,7.874528816787956,6.47147050732995,1.5920002111480898,5.34200021114809,3.916081396589042,9.542088613649836,4.751494712211847,6.290404881743857,9.880391730969972,115.65200021114809,114.06,115.65200021114809,110.31,14.936915534599201,6.689681565507514,10000.0,10000.0,-0.05,-0.21439435016729994,1636.1937729380006,700.0,4,7,10,287.2616670385168,29,58000.0,254.74567323510306,430.0,21,0.14809612205679332,0.11160188295333019,0.027908685251398595,2.5276106173373605,0.2717835490886963,0.698425575505195,0.37789554391804514,0.2022888741778162,12,0.20664277386758273,28,40,4
606,7.2799287376006125,5.624126462467924,-10.750402721881542,-7.000402721881542,11.28415496924367,2.826796607424801,3.671326374952274,7.47450180430904,8.472530345451986,103.30959727811846,114.06,103.30959727811846,110.31,16.244111440863037,18.384477146748903,10000.0,10000.0,-0.05,-0.22553141983923303,1412.5073683110445,699.2344045564334,4,7,11,231.6089885889202,29,58000.0,294.5304040297957,430.0,21,0.12329503708426026,0.1004534467204759,0.0304310218109774,2.2134400689722677,0.21381406028818398,0.75,0.35433894266383453,0.2050494482051726,13,0.24,24,52,4
607,3.9837200561364967,3.3857247337343104,-4.250764364887772,-0.5007643648877718,3.7660386912664343,4.487711764821713,3.2481717559574235,5.15311215983286,3.396079293881298,109.80923563511223,114.06,109.80923563511223,110.31,7.951206284487334,5.666650183176651,10000.0,10000.0,-0.05,-0.24974346926598576,1706.4535011853372,700.0,4,7,9,288.67424353261237,28,58000.0,250.0,430.0,21,0.14656206456540824,0.12,0.03080889385272175,2.2786827892147152,0.22545164303644297,0.693476801487964,0.3139783620579257,0.22,11,0.24,26,48,4
608,6.20281710902977,4.810611466065799,-8.643008644252802,-4.893008644252802,9.135680777144245,2.5740328703060067,3.404215979370875,6.435416570887141,7.1132588576786,105.4169913557472,114.06,105.4169913557472,110.31,13.449491532583357,14.550087692546487,10000.0,10000.0,-0.05,-0.25,1428.4973680305534,651.0813388728563,4,7,11,216.44622255970097,28,58000.0,250.0,430.0,21,0.11134390540366094,0.12,0.028936372874437226,2.163825792632818,0.24052177183922935,0.6185630644201355,0.396085151119251,0.22,12,0.23954340819117337,24,52,4
609,4.363545196564625,3.456198282989024,-7.3294250392069245,-3.5794250392069245,5.6918934171810935,2.902962925456971,3.520072814413699,5.718045287423538,3.6633292291261665,106.73057496079308,114.06,106.73057496079308,110.31,9.86857723683034,10.055433448546633,10000.0,10000.0,-0.05,-0.25,1482.113833888171,652.3370766802394,4,7,9,262.9491602604805,26,58000.0,278.49193435703944,430.0,21,0.13134552466985083,0.1197359486922185,0.0247952530872705,2.200666616318079,0.22028408643335695,0.5813847228160642,0.35000907133798387,0.22,13,0.20523128380240063,30,42,4
610,6.3355837146835166,5.10036870491669,-9.701871532629568,-5.951871532629568,8.915347015686795,2.89151953715371,4.196034996894604,8.037669981636634,5.969329615971699,104.35812846737043,114.06,104.35812846737043,110.31,14.164225401706162,15.176844241790448,10000.0,10000.0,-0.05,-0.25,1400.0,700.0,5,7,11,284.4351855650326,30,58000.0,263.78588218626516,430.0,21,0.11709913882242956,0.118089106207016,0.0314741785620434,2.160160781335108,0.21888516159594,0.6466699750688384,0.3160743509201078,0.22,13,0.22717891762035927,26,48,4
