sample_id,样本类型,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
650,局部扰动,3.580857568617284,2.97167546577623,-4.297158796914772,-0.547158796914772,3.656085928595683,2.8972511277933353,3.1860766491938963,4.610539376408724,2.9323802073494423,109.76284120308523,114.06,109.76284120308523,110.31,7.110419479916298,5.593812966127501,10000.0,10000.0,-0.05,-0.25,1401.8415263213737,622.4668271263488,4,7,7,266.944328727724,17,58000.0,284.41656490477567,430.0,21,0.11820050447574332,0.11921544849624817,0.02621591321311117,2.112602898985173,0.3,0.5653665033684067,0.4374162947617991,0.2199139004763509,14,0.24,29,47,5
651,局部扰动,3.6016632943822953,2.8495896218890415,-4.470098481567732,-0.7200984815677316,3.381867829385748,2.725995923248554,3.2364032219892866,4.843713531498855,2.6994866843545045,109.58990151843227,114.06,109.58990151843227,110.31,7.129188665282764,5.457946614639933,10000.0,10000.0,-0.05,-0.25,1400.0,618.5158555822208,5,7,7,264.6382148455322,17,58000.0,286.00103778931634,430.0,21,0.11217430597119071,0.11630123524159976,0.0232389952007322,2.155846067369106,0.28439544029492003,0.5461984938075833,0.4358483198472184,0.21686539034744318,14,0.24,29,46,4
652,局部扰动,3.4407223893499044,2.8293026598099242,-4.408068151350392,-0.6580681513503919,3.7650761081660664,3.027393934409221,3.200754805722555,4.3178746198809685,2.8524385885823205,109.65193184864961,114.06,109.65193184864961,110.31,7.012219858893391,5.79153062924638,10000.0,10000.0,-0.05,-0.24906158928298947,1400.0,590.9989147758982,4,7,7,255.46290478794094,17,58000.0,285.8347475259083,430.0,21,0.12096944069518167,0.1139052208568713,0.022217241471315312,2.145519445072014,0.2995171750639975,0.5241264681466006,0.45,0.21479141228413678,14,0.24,29,46,6
653,局部扰动,3.4431292664827238,2.7410389418954133,-3.8876050818634695,-0.13760508186346954,3.1169896892822244,2.9398587432299563,3.228166052360227,4.508558986503783,2.6378682422956987,110.17239491813653,114.06,110.17239491813653,110.31,6.654997868771918,4.727073754773,10000.0,10000.0,-0.05,-0.25,1400.0,595.8169469572167,5,7,8,266.1221149749592,16,58000.0,262.6553865857318,430.0,21,0.11565728094526297,0.11652565330016425,0.023961029167728874,2.1446939923550308,0.3,0.5345156209750518,0.45,0.22,14,0.24,28,46,5
654,局部扰动,3.4274117535878887,2.8683575661649825,-4.014820236540103,-0.26482023654010334,3.387687077406409,3.270760947187491,3.202912183039984,4.193564073527333,2.9384166063282384,110.0451797634599,114.06,110.0451797634599,110.31,6.8099630320628055,5.099543266638492,10000.0,10000.0,-0.05,-0.24000544215956301,1416.272376018448,624.693965120341,4,7,7,269.15819599363823,17,58000.0,316.98578553706267,430.0,21,0.11228259466732443,0.12,0.023961604258546737,2.218730491755285,0.289425194932964,0.5543053192967802,0.44374536807402215,0.2115200088696962,14,0.24,29,47,5
655,局部扰动,3.6663997967150452,3.0143289990564215,-4.980982569377616,-1.2309825693776162,4.489279636908996,2.8682487753099943,3.1886241204870602,4.606791209919601,3.157745643016865,109.07901743062239,114.06,109.07901743062239,110.31,7.663862733418957,6.974065692411089,10000.0,10000.0,-0.05,-0.24949422410663102,1412.0674630812728,607.3682995187222,4,7,7,261.5955499339058,17,58000.0,315.21451299398143,430.0,21,0.11246583192383641,0.1162219266945528,0.027107326433421293,2.140629842315688,0.2954779398797669,0.5462590639524765,0.4462223755099584,0.21400409987762528,15,0.24,28,47,6
656,局部扰动,3.44173641209244,2.90733112351618,-3.0748044613607846,0.6751955386392154,2.411793073446552,3.6332422710103214,3.249003623141417,4.024702944609644,3.1014876256012798,110.98519553863922,114.06,110.98519553863922,110.31,6.6723613195616,3.911793073446552,10000.0,10000.0,-0.05,-0.24416447412443668,1400.0,595.6687329640532,4,7,7,264.4857076964207,18,58000.0,284.741028468135,430.0,21,0.12279048083776926,0.11853236954806827,0.025426201208141007,2.2252637711038727,0.3,0.5376908388071087,0.45,0.22,13,0.23016375577417955,29,46,5
657,局部扰动,3.7082421709732274,3.185834628461957,-1.9323830040972467,1.8176169959027533,1.6388943409702308,4.040843944049682,3.3023429133492685,4.019624668987962,3.6928840795865066,112.12761699590276,114.06,112.12761699590276,110.31,7.06566432604888,3.138894340970231,10000.0,10000.0,-0.05,-0.24831780949848087,1408.2458938898906,618.4771426167248,4,7,7,266.08519817585767,17,58000.0,292.41047865898764,430.0,21,0.11387046086528362,0.11717645489673136,0.02132918381371172,2.305468521239818,0.2996370159651645,0.5371265524493926,0.45,0.21644421122853846,13,0.24,29,46,4
658,局部扰动,3.5233710725097867,2.986758870536587,-3.0061101248827526,0.7438898751172474,2.3813803426815636,3.7023383419872666,3.2223786856708805,4.05642333455323,3.283912146985565,111.05388987511725,114.06,111.05388987511725,110.31,6.798753948109886,3.8813803426815636,10000.0,10000.0,-0.05,-0.24898087219481585,1400.0,634.5972062899166,4,7,7,266.69588261861804,16,58000.0,310.555291598712,430.0,21,0.11738438842265597,0.11732620827978768,0.024194529724144053,2.2465808662839097,0.3,0.5513782613428855,0.4444734288505595,0.21769969839896533,14,0.2309779922924065,30,46,5
659,局部扰动,3.465774015021024,2.874157659038456,-3.0361188288289895,0.7138811711710105,2.2124496900938735,3.2054874227545067,3.1715714849935184,4.308709548022605,2.943725401023155,111.02388117117101,114.06,111.02388117117101,110.31,6.587827559335569,3.7124496900938735,10000.0,10000.0,-0.05,-0.25,1400.0,635.7461850761725,3,7,7,265.90382340250915,17,58000.0,284.9550318749762,430.0,21,0.10999063893794876,0.11833701759407839,0.02587842617030737,2.2012575118268707,0.2992236672181288,0.5665807051758879,0.44732441416228663,0.2173404025989893,14,0.24,29,46,4
660,局部扰动,3.3936375919450246,2.8517423340335646,-3.1736712246977135,0.5763287753022865,2.501860828259859,3.5168290697562807,3.234162633946654,4.041041012316945,2.9768442782432527,110.88632877530229,114.06,110.88632877530229,110.31,6.589618795140665,4.00186082825986,10000.0,10000.0,-0.05,-0.24555375467478202,1417.592467336241,604.5846171209793,4,7,7,265.41958834438316,16,58000.0,302.2279044771434,430.0,21,0.11408244175774931,0.11695985639056358,0.0243290634741936,2.217089348725775,0.29669102609381875,0.5446139540089028,0.45,0.22,13,0.2363886022601033,29,46,5
661,局部扰动,3.3924500203194072,2.798874438550834,-3.3400190684289015,0.4099809315710985,2.6698515545640267,3.3259839944293192,3.2614037293779896,4.20526031410364,2.8015105702488685,110.7199809315711,114.06,110.7199809315711,110.31,6.562375506942436,4.169851554564027,10000.0,10000.0,-0.05,-0.25,1407.5194044470818,609.6911538020233,5,7,7,271.9805473064709,17,58000.0,293.5795641435769,430.0,21,0.11265439569706326,0.11395714734615381,0.024829134979545257,2.2174405116907603,0.3,0.5293493226371134,0.44864268516036127,0.22,15,0.23398470290781367,29,46,5
662,局部扰动,3.541291196541682,2.915407992669797,-4.424278162144702,-0.6742781621447023,3.7307846025050067,2.8978358145681216,3.234015086842322,4.511235240105805,2.90245706007522,109.6357218378553,114.06,109.6357218378553,110.31,7.127816816552124,5.770207132220769,10000.0,10000.0,-0.05,-0.24837806460737819,1400.0,604.169445970414,4,7,8,265.82078040326,18,58000.0,302.1172043053124,430.0,21,0.11063515943554095,0.11956804780332714,0.022248236312815646,2.0970330731842615,0.3,0.5737961869582635,0.45,0.22,14,0.23385649297874397,29,47,5
663,局部扰动,3.849127120906511,3.152179611451444,-5.778886651466294,-2.028886651466294,5.216100828157009,2.8116115069558805,3.240683846789563,4.634126660192754,3.5546863292876183,108.28111334853371,114.06,108.28111334853371,110.31,8.385452109651602,8.339210149330045,10000.0,10000.0,-0.05,-0.25,1404.9018453892215,601.6122987727558,4,7,8,260.9262388935205,18,58000.0,296.3154702427615,430.0,21,0.11714207003029614,0.1139798870649045,0.0223539493568129,2.1058796295233533,0.287853696138154,0.5790268801228236,0.44057371934827516,0.22,14,0.24,30,47,6
