day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,naive_price,ridge_price,mechanism_plus_ridge_return,mechanism_plus_phase_ridge,online_corrected_price,regime_corrected_price,ridge_assist_phase,phase_gated_ridge_correction,事件段,机制误差,机制绝对误差,朴素价格,朴素误差,阶段Ridge误差,机制加Ridge误差,风险上行压力,缓冲折价,净机制压力,缓冲供给,剩余缺口占需求,实际日变化,模型日变化,拐点错向
28,20,calendar,2026-03-30,108.89,102.62595180051504,9308.188143469572,9195.216271644056,668.1757407407549,0.0,700.0,81.14761256627276,0.0,781.1476125662728,1.1690750874916152,0.1051292678851474,52978.84140653793,430.0,-0.1170507006729085,1.005969917846122,0.0,19.01968759326166,17.089067136150476,0.1966759584815683,5.451413850027444,0.0,36003,106.29,108.03352586660942,104.36947766712446,104.36947766712446,103.2116157115292,103.78318016804543,高位平台形成,1.743525866609417,高位平台形成,-6.264048199484961,6.264048199484961,106.29,-2.5999999999999943,-4.520522332875544,-4.520522332875544,36.30543068789371,5.451413850027444,30.85401683786627,781.1476125662728,0.0,2.5999999999999943,1.1648398441726613,False
29,21,calendar,2026-03-31,103.53,103.5396652036144,9321.712745563951,9174.59247042783,647.5519395245283,0.0,700.0,94.67221466065156,0.0,794.6722146606515,1.227194555612246,0.0581194681206309,52978.84140653793,430.0,-0.1194453685540838,1.0052948421432482,0.0,18.990811548953328,17.336143640746172,0.1744359269882381,5.051214666491493,0.0,36003,108.89,109.50477937214497,104.15444457575936,104.15444457575936,105.06274355125072,105.90815737941573,高位平台形成,0.6147793721449659,高位平台形成,0.009665203614403595,0.009665203614403595,108.89,5.359999999999999,0.6244445757593553,0.6244445757593553,36.50139111668774,5.051214666491493,31.45017645019625,794.6722146606515,0.0,-5.359999999999999,0.913713403099365,True
30,22,calendar,2026-04-01,100.24,103.82104014512149,9335.23734765833,9156.468414481347,629.427883578046,0.0,700.0,108.19681675503034,0.0,808.1968167550303,1.2840181343107242,0.056823578698478,52978.84140653793,430.0,-0.1218400364352591,1.004696103706038,0.0,18.95562446013621,17.569867999812857,0.1547107885435704,4.6695189008457545,1.0524151715877983,36003,103.53,102.41840472028542,102.70944486540692,102.70944486540692,103.81904126452828,103.82078792146464,中期再定价回落,-1.111595279714578,中期再定价回落,3.5810401451214915,3.5810401451214915,103.53,3.2900000000000063,2.4694448654069276,2.4694448654069276,36.68020324849263,5.721934072433553,30.95826917605908,808.1968167550303,0.0,-3.2900000000000063,0.28137494150708164,True
31,23,calendar,2026-04-02,109.24,103.7409699142556,9348.76194975271,9145.285584002082,618.2450530987808,0.0,700.0,121.72141884940916,0.0,821.7214188494091,1.3291192784006276,0.0451011440899034,52978.84140653793,430.0,-0.1242347043164344,1.0041650703498284,0.0,18.915029244339188,17.790961770386147,0.1372161601399193,4.3097672450578175,2.0973834457423015,36003,100.24,99.8952741586592,103.3962440729148,103.3962440729148,102.9998988669811,103.5844664166446,中期再定价回落,-0.3447258413407894,中期再定价回落,-5.499030085744394,5.499030085744394,100.24,-9.0,-5.843755927085198,-5.843755927085198,36.843207174865256,6.407150690800119,30.436056484065137,821.7214188494091,0.0,9.0,-0.0800702308658856,True
35,24,calendar,2026-04-06,109.7,102.4642123415239,9402.860358130223,9114.283806294226,587.2432753909252,0.0,700.0,175.8198272269243,0.0,875.8198272269243,1.4914088656764866,0.1622895872758589,52978.84140653793,430.0,-0.1338133758411356,1.002577276358178,0.0,18.7126418308598,18.56214080271537,0.0849070809819938,3.1055829658861493,6.551554807198891,36003,109.24,111.12526007665086,104.34947241817476,104.34947241817476,103.15869727362106,100.5548744986043,中期再定价回落,1.8852600766508656,中期再定价回落,-7.235787658476099,7.235787658476099,109.24,-0.46000000000000796,-5.350527581825247,-5.350527581825247,37.35968971455716,9.65713777308504,27.702551941472123,875.8198272269243,0.0,0.46000000000000796,-1.2767575727316967,True
36,25,calendar,2026-04-07,103.42,101.61214623600311,9416.384960224605,9122.419369653426,595.3788387501245,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4937454464930244,0.0023365808165378,52978.84140653793,430.0,-0.1362080437223109,1.002285839073136,0.0,18.65477183946956,18.72961162403044,0.075305825344929,2.858726215336676,7.238611870446996,36003,109.24,109.56433363607736,101.93647987208048,101.93647987208048,103.37291977877015,104.38616771151749,中期再定价回落,0.3243336360773554,中期再定价回落,-1.8078537639968886,1.8078537639968886,109.24,5.819999999999993,-1.483520127919519,-1.483520127919519,37.45968928884493,10.097338085783672,27.362351203061255,889.3444293213031,0.0,-6.280000000000001,-0.852066105520791,False
37,26,calendar,2026-04-08,96.7,100.82430395283995,9416.384960224605,9125.7858573235,598.7453264201995,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4853467577585084,-0.0083986887345159,52978.84140653793,430.0,-0.1386027116034862,1.0020273573890108,0.0,18.594834032377968,18.888032233219025,0.0667902755022704,2.631068145969691,8.265766779021634,36003,103.42,102.39242521887527,99.79672917171524,99.79672917171524,101.26594365226887,101.44182707321367,中期再定价回落,-1.027574781124727,中期再定价回落,4.124303952839952,4.124303952839952,103.42,6.719999999999999,3.096729171715239,3.096729171715239,37.54965654109927,10.896834924991325,26.652821616107943,889.3444293213031,0.0,-6.719999999999999,-0.7878422831631582,False
38,27,calendar,2026-04-09,96.41,100.05687519116827,9416.384960224605,9128.771803486,601.7312725826996,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4779760830846216,-0.0073706746738868,52978.84140653793,430.0,-0.1409973794846615,1.0017981047008433,0.0,18.533150645157487,19.03789170855094,0.0592376603169329,2.4212935330475287,9.298806150251812,36003,96.7,95.85648560433803,99.2133607955063,99.2133607955063,99.14315345396275,98.99936442725974,中期再定价回落,-0.8435143956619697,中期再定价回落,3.6468751911682773,3.6468751911682773,96.7,0.29000000000000625,2.8033607955063076,2.8033607955063076,37.63028001402536,11.72009968329934,25.91018033072602,889.3444293213031,0.0,-0.29000000000000625,-0.7674287616716811,False
39,28,calendar,2026-04-10,94.26,99.28932203883262,9416.384960224605,9131.919095583193,604.8785646798915,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4702859073737455,-0.007690175710876,52978.84140653793,430.0,-0.1433920473658368,1.001594775806535,0.0,18.469999742667603,19.17965269824657,0.0525390915583968,2.2280770126355245,10.331783395557382,36003,96.41,95.69054286208164,98.56986490091424,98.56986490091424,98.37317601549894,98.02323273305244,中期再定价回落,-0.7194571379183685,中期再定价回落,5.029322038832618,5.029322038832618,96.41,2.1499999999999915,4.309864900914235,4.309864900914235,37.70219153247257,12.559860408192907,25.14233112427966,889.3444293213031,0.0,-2.1499999999999915,-0.7675531523356511,False
42,29,calendar,2026-04-13,98.0,97.7146204551551,9416.384960224605,9121.552105269038,594.511574365737,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.495924499485334,0.0256385921115884,52978.84140653793,430.0,-0.1505760510093627,1.0011126373256105,0.0,18.273981080802155,19.56060424302066,0.0366552803735718,1.7358215232143777,13.552755347649851,36003,94.26,93.88879404813122,97.34341450328633,97.34341450328633,96.25934256968245,95.78617975220632,中期再定价回落,-0.371205951868788,中期再定价回落,-0.2853795448449006,0.2853795448449006,94.26,-3.739999999999995,-0.6565854967136744,-0.6565854967136744,37.87124060419639,15.28857687086423,22.582663733332158,889.3444293213031,0.0,3.739999999999995,-1.5747015836775233,True
43,30,calendar,2026-04-14,95.34,96.5210057060935,9416.384960224605,9137.9551902862,610.9146593828973,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.455758861998263,-0.0401656374870709,52978.84140653793,430.0,-0.1529707188905381,1.0009868207827382,0.0,18.207051993890296,19.674117569744453,0.0325103172769181,1.596986964953567,14.46385070014611,36003,98.0,98.39325653583812,96.91426224193162,96.91426224193162,96.59761365153231,96.62648692781391,中期再定价回落,0.3932565358381197,中期再定价回落,1.1810057060935009,1.1810057060935009,98.0,2.6599999999999966,1.5742622419316206,1.5742622419316206,37.913679880911666,16.060837665099676,21.85284221581199,889.3444293213031,0.0,-2.6599999999999966,-1.1936147490615951,False
44,31,calendar,2026-04-15,94.87,95.47411909801804,9416.384960224605,9149.61737242219,622.5768415188886,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4284894169072957,-0.0272694450909674,52978.84140653793,430.0,-0.1553653867717133,1.0008752315195877,0.0,18.139567746067367,19.781496576005935,0.0288340647970576,1.4692423068100855,15.49544511822806,36003,95.34,95.64837831264752,95.78249741066556,95.78249741066556,95.1580997062834,95.0403723425259,中期再定价回落,0.3083783126475197,中期再定价回落,0.6041190980180318,0.6041190980180318,95.34,0.46999999999999886,0.9124974106655515,0.9124974106655515,37.949898386870366,16.964687425038147,20.98521096183222,889.3444293213031,0.0,-0.46999999999999886,-1.046886608075468,False
45,32,calendar,2026-04-16,98.21,94.50082903946029,9416.384960224605,9159.762672055083,632.7221411517821,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.405584491957838,-0.0229049249494577,52978.84140653793,430.0,-0.1577600546528887,1.000776260721581,0.0,18.07164287129451,19.883072763740778,0.0255735213421371,1.3516948796331882,16.526792137754533,36003,94.87,94.94449528066446,94.57532432012474,94.57532432012474,94.33868645513331,94.27818420122716,中期再定价回落,0.0744952806644505,中期再定价回落,-3.7091709605397085,3.7091709605397085,94.87,-3.339999999999989,-3.634675679875258,-3.634675679875258,37.980289156377424,17.878487017387723,20.1018021389897,889.3444293213031,0.0,3.339999999999989,-0.9732900585577511,True
46,33,calendar,2026-04-17,92.42,93.56150762834372,9416.384960224605,9169.4071615431,642.366630639799,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.384481053188447,-0.0211034387693909,52978.84140653793,430.0,-0.160154722534064,1.0006884814981911,0.0,18.0033761056517,19.979159720344008,0.0226816787171638,1.2435284945646148,17.55775322192811,36003,98.21,98.85364352611953,94.20515115446324,94.20515115446324,94.53639532995672,94.87277573490562,中期再定价回落,0.6436435261195186,中期再定价回落,1.1415076283437173,1.1415076283437173,98.21,5.789999999999992,1.785151154463236,1.785151154463236,38.005217504712874,18.801281716492724,19.20393578822015,889.3444293213031,0.0,-5.789999999999992,-0.9393214111165662,False
49,34,calendar,2026-04-20,93.8,97.35308363286718,9416.384960224605,9167.849601313736,640.8090704104343,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.3878461937994782,0.0033651406110311,52978.84140653793,430.0,-0.1673387261775899,1.000480337242226,0.0,17.79731815780691,20.237372326147863,0.0158244702765143,0.9685040886172624,8.303622425796155,36003,92.42,92.15751597768894,97.09059961055613,97.35308363286718,97.0736999039112,97.31789192261029,未启用,0.0,后期二次抬升,3.5530836328671853,3.5530836328671853,92.42,-1.3799999999999955,3.5530836328671853,3.2905996105561286,38.05051495423129,9.272126514413417,28.778388439817874,889.3444293213031,0.0,1.3799999999999955,3.7915760045234634,False
50,35,calendar,2026-04-21,99.06,100.19098192658464,9416.384960224605,9097.75362586386,570.7130949605598,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.1121538062005218,52978.84140653793,430.0,-0.1697333940587652,1.000426020916647,0.0,17.728424859230337,20.31431274623251,0.0140350460884637,0.8913489263258876,6.715597682288451,36003,93.8,93.72241212653748,100.11339405312212,100.19098192658464,99.2908730524224,98.76386610437748,未启用,0.0,后期二次抬升,1.1309819265846386,1.1309819265846386,93.8,-5.260000000000005,1.1309819265846386,1.053394053122119,38.05677265155131,7.606946608614339,30.449826042936973,889.3444293213031,0.0,5.260000000000005,2.8378982937174584,False
51,36,calendar,2026-04-22,101.55,102.5423027754364,9416.384960224605,9044.278255414763,517.237724511464,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1721280619399405,1.000377846657443,0.0,17.65951241367376,20.38709526515325,0.0124479692061257,0.82008338318771,5.0325652615946295,36003,99.06,100.7566489853444,104.2389517607808,102.5423027754364,102.25371857216813,102.10236836836212,未启用,0.0,后期二次抬升,0.9923027754364,0.9923027754364,99.06,-2.489999999999995,0.9923027754364,2.688951760780796,38.05905564803314,5.85264864478234,32.206407003250796,889.3444293213031,0.0,2.489999999999995,2.3513208488517563,False
