参数,参数中文名,参数值,最优参数值,相对最优比例,RMSE,MAE,高价平台RMSE,低价回落RMSE,峰值误差,末日误差,综合得分,相对最优RMSE变化
risk_weight,封锁风险权重,1.8561504363623222,2.176555457337805,0.8527926224460288,4.3338716121844,3.4401439402268323,5.186448087867292,2.5376956349396087,-6.142930320891452,-2.392930320891452,9.142063187277952,0.9661230994023513
risk_weight,封锁风险权重,1.9073805236347867,2.176555457337805,0.8763298528436062,4.090920950231609,3.2732430385228866,4.794729181923789,2.5046612686881873,-5.731948355444544,-1.981948355444544,8.553310940939907,0.7231724374495596
risk_weight,封锁风险权重,1.9586106109072512,2.176555457337805,0.8998670832411837,3.8748657901289225,3.1123594465140085,4.40766569846294,2.5257906831306194,-5.320997607729069,-1.570997607729069,8.013494176777208,0.5071172773468735
risk_weight,封锁风险权重,2.0098406981797154,2.176555457337805,0.9234043136387611,3.6905108051552915,2.9650521182399046,4.026389268963385,2.5997931854421403,-4.910047416769828,-1.160047416769828,7.529621479516183,0.3227622923732425
risk_weight,封锁风险权重,2.06107078545218,2.176555457337805,0.9469415440363386,3.542829120883422,2.8429746709239825,3.652703196268355,2.722385866577096,-4.4990961976409665,-0.7490961976409665,7.108453477727006,0.17508060810137316
risk_weight,封锁风险权重,2.1123008727246444,2.176555457337805,0.970478774433916,3.4365699525635134,2.7530445064958453,3.2891974819736784,2.88740772912953,-4.088143953600195,-0.3381439536001949,6.755981502750299,0.06882143978146438
risk_weight,封锁风险权重,2.163530959997109,2.176555457337805,0.9940160048314935,3.3756642778939527,2.728892325919183,2.9396533184216262,3.088082095518386,-3.6771906863649946,0.07280931363500542,6.513123989650115,0.007915765111903728
risk_weight,封锁风险权重,2.2147610472695733,2.176555457337805,1.0175532352290708,3.3625932625645474,2.7723082515617796,2.609689258244844,3.3179610633296694,-3.2662363961439524,0.48376360385604755,6.514973959728114,-0.005155250217501628
risk_weight,封锁风险权重,2.2659911345420376,2.176555457337805,1.0410904656266482,3.397947043426463,2.866363694571419,2.3077451600705507,3.571482955635483,-2.8552858676328583,0.8947141323671417,6.592661627549522,0.030198530644414134
risk_weight,封锁风险权重,2.3172212218145023,2.176555457337805,1.0646276960242258,3.5278032962210113,3.0272117600313986,2.013664376287047,3.827762058309287,-2.402437547580419,1.3475624524195808,6.806071587853526,0.1600547834389623
risk_weight,封锁风险权重,2.3684513090869665,2.176555457337805,1.0881649264218032,3.6473248353169345,3.127353246202399,1.8182960698957256,4.119226553039325,-1.991503305980359,1.758496694019641,7.021772627363071,0.2795763225348855
risk_weight,封锁风险权重,2.4196813963594312,2.176555457337805,1.1117021568193806,3.8062991146400433,3.270406252886926,1.7039939112841556,4.422628140706097,-1.5805684157072903,2.1694315842927097,7.305098099369221,0.4385506018579943
risk_weight,封锁风险权重,2.4709114836318955,2.176555457337805,1.135239387216958,4.000872139702577,3.4270328801082095,1.6873133503569684,4.737209032210958,-1.1696308874142147,2.5803691125857853,7.653388980381104,0.6331236269205278
risk_weight,封锁风险权重,2.5221415709043598,2.176555457337805,1.1587766176145353,4.225836550595533,3.6021547687040663,1.7710245389512556,5.060653926838206,-0.7586922710679715,2.9913077289320285,8.0598149779658,0.8580880378134839
risk_weight,封锁风险权重,2.5733716581768245,2.176555457337805,1.182313848012113,4.476157819076928,3.7776341632226385,1.9421919066994153,5.390152030073768,-0.34775380100741415,3.402246198992586,8.515322193792706,1.1084093062948788
risk_weight,封锁风险权重,2.624601745449289,2.176555457337805,1.2058510784096905,4.74745805913714,3.9709618480621094,2.1803132165751187,5.72395809993011,0.06318408519514662,3.8131840851951466,9.036012211449801,1.3797095463550906
risk_weight,封锁风险权重,2.6758318327217534,2.176555457337805,1.229388308807268,5.036936024620132,4.190976535562233,2.4660641406702166,6.06245282933774,0.4741198957348587,4.224119895734859,9.729154279266481,1.6691875118380826
risk_weight,封锁风险权重,2.7270619199942177,2.176555457337805,1.252925539204845,5.341840601077842,4.453008561182647,2.7847810881870063,6.405471545772458,0.8850410503910524,4.635041050391052,10.449678087819136,1.974092088295793
risk_weight,封锁风险权重,2.778292007266682,2.176555457337805,1.2764627696024224,5.658344751881585,4.744932809095483,3.126331711370612,6.7501249227270685,1.2959357687578574,5.045935768757857,11.190313525665955,2.290596239099536
risk_weight,封锁风险权重,2.8295220945391466,2.176555457337805,1.3,5.985497090739209,5.060835824969761,3.484051006967785,7.0974725266663246,1.7068304874370739,5.456830487437074,11.948911420998009,2.6177485779571597
uncertainty_floor,不确定性底座,0.21,0.3,0.7,6.088754776584754,5.06652033651778,8.801055155046045,3.8429391177473664,-9.951752126795682,-6.201752126795682,14.072220875125533,2.7210062638027046
uncertainty_floor,不确定性底座,0.21375,0.3,0.7125,5.920203711502113,4.899171499581522,8.541720152471616,3.711745733783311,-9.685934425576704,-5.935934425576704,13.657750028763372,2.552455198720064
uncertainty_floor,不确定性底座,0.2175,0.3,0.725,5.753899302182369,4.738548889098899,8.28270532593903,3.585272578321093,-9.420115835268206,-5.670115835268206,13.24714048491147,2.3861507894003195
uncertainty_floor,不确定性底座,0.22125,0.3,0.7375,5.590047728711222,4.579112655079247,8.024042127577385,3.464042712749839,-9.154296358432262,-5.404296358432262,12.840761965942292,2.2222992159291732
uncertainty_floor,不确定性底座,0.22499999999999998,0.3,0.75,5.42887120621995,4.427200395035716,7.765766150713054,3.3486316850947264,-8.888475997153776,-5.138475997153776,12.439016742310283,2.0611226934379006
uncertainty_floor,不确定性底座,0.22874999999999998,0.3,0.7625,5.270617045437327,4.278146993680235,7.507917826074597,3.2396677636181583,-8.622654753047755,-4.872654753047755,12.042352432907867,1.9028685326552783
uncertainty_floor,不确定性底座,0.23249999999999998,0.3,0.775,5.115454300887744,4.1290350089550785,7.250646295385073,3.137828865664784,-8.356852241856657,-4.606852241856657,11.651141094989907,1.7477057881056948
uncertainty_floor,不确定性底座,0.23625,0.3,0.7875,4.9637272399308525,3.989354274092406,6.9939615165769595,3.0438363235854906,-8.091060243893708,-4.341060243893708,11.265975718676318,1.5959787271488035
uncertainty_floor,不确定性底座,0.24,0.3,0.8,4.815827743147668,3.861786771958517,6.737866120529312,2.958444061872702,-7.825267682345682,-4.075267682345682,10.887523252190343,1.4480792303656194
