day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount
31,23,calendar,2026-04-02,109.24,108.04581719601669,9159.256559837626,9281.256906154322,881.2569061543218,122.00034631669587,450.0,214.28571428571428,94.97084555191253,0.4166845462982398,759.2565598376268,0.861560975619372,0.8385228535594119,0.8385228535594119,0.012405142647670786,50938.168567914305,274.52294946771167,430.0,444.2201443779668,-0.11716666666666668,1.0133989160947514,0.343036165794912,22.493011159199483,12.025933407807003,0.441420591283536,0.0,0.0
35,24,calendar,2026-04-06,109.7,108.16659508938243,9169.357151561091,9259.318017590016,859.3180175900161,89.96086602892501,450.0,250.0,69.35715156109153,0.40435208659681426,769.3571515610915,0.8953113234129285,0.8583988180081428,0.8583988180081428,0.019875964448730854,50868.811416353215,262.70970177923914,430.0,477.97228063074544,-0.12583333333333335,1.0097296100200348,0.23552707954092075,22.252339982270914,12.547217631109953,0.32053713730503886,0.0,0.0
36,25,calendar,2026-04-07,103.42,108.2662260539106,9166.6660350658,9253.216374026166,853.2163740261658,86.55033896036548,450.0,250.0,66.66603506579983,0.4031708167582055,766.6660350657999,0.8985599179819401,0.8724552029989718,0.8724552029989718,0.014056384990829063,50802.14538128742,259.4242013987051,430.0,487.3594245751283,-0.128,1.0089815620534615,0.22276231577185626,22.183523257469236,12.660420782849517,0.295893071070259,0.0,0.0
37,26,calendar,2026-04-08,96.7,108.34131860277452,9164.03738377273,9247.24887986771,847.2488798677095,83.21149609498025,450.0,250.0,64.0373837727301,0.4020372071345763,764.0373837727301,0.9017862424226843,0.8827210667972712,0.8827210667972712,0.010265863798299413,50738.107997514686,256.21093531338204,430.0,496.54018481890853,-0.13016666666666668,1.0082910267476362,0.210603928279212,22.112247567310174,12.767506376147644,0.2731437306874986,0.0,0.0
38,27,calendar,2026-04-09,96.41,108.3966235771768,9161.485245935888,9241.448165470742,841.4481654707415,79.96291953485343,450.0,250.0,61.485245935887825,0.400955534792057,761.4852459358879,0.9049698807173475,0.890508151669298,0.890508151669298,0.007787084872026728,50676.6227515788,253.08747371501488,430.0,505.46436081424326,-0.13233333333333333,1.0076535823190718,0.19906839314478425,22.03889610170233,12.868805007111508,0.2521434427106589,0.0,0.0
39,28,calendar,2026-04-10,94.26,108.43581522016517,9158.996954019362,9235.78614274695,835.7861427469506,76.78918872758913,450.0,250.0,58.996954019361716,0.39991870317122735,758.9969540193617,0.9081234004727472,0.8966734887505052,0.8966734887505052,0.006165337081207256,50617.625797559434,250.0386922483579,430.0,514.1751650046917,-0.1345,1.0070651469471508,0.18808783851569216,21.963799524474272,12.964629406259066,0.23275773360041144,0.0,0.0
42,29,calendar,2026-04-13,98.0,108.4491753933193,9151.970085079012,9219.763668315474,819.7636683154742,67.79358323646193,450.0,250.0,51.97008507901149,0.39708391914263846,751.9700850790115,0.9173010638837273,0.903893140047133,0.903893140047133,0.007219651296627716,50565.655712480424,241.41120601602444,430.0,538.8251256685016,-0.14100000000000001,1.0055576414311582,0.15839898602366095,21.73070181725976,13.22213644652938,0.18309371812879033,0.0,0.0
43,30,calendar,2026-04-14,95.34,108.4553352216358,9149.632585529735,9214.423306823892,814.4233068238918,64.79072129415727,450.0,250.0,49.632585529735216,0.396170915184214,749.6325855297353,0.9204458900533814,0.9096866025493199,0.9096866025493199,0.00579346250218693,50516.02312695069,238.535626751326,430.0,547.0410664247829,-0.14316666666666666,1.0051303496524577,0.14909182195637,21.65111237125169,13.29886662703886,0.16901680412539347,0.0,0.0
44,31,calendar,2026-04-15,94.87,108.4526327401202,9147.323780020302,9209.143551233994,809.143551233994,61.81977121369164,450.0,250.0,47.323780020301896,0.39528356208028426,747.3237800203019,0.9235985121312367,0.9145557709029908,0.9145557709029908,0.004869168353670905,50468.69934693039,235.6926814336892,430.0,555.1637673323166,-0.14533333333333331,1.0047359096268627,0.1401345036295503,21.570862749654854,13.371450267842727,0.15602217470217886,0.0,0.0
45,32,calendar,2026-04-16,98.21,108.44250419192882,9145.050686369359,9203.940755194984,803.9407551949844,58.89006882562535,450.0,250.0,45.050686369359305,0.39442380832986307,745.0506863693593,0.926748247995784,0.9188231378854684,0.9188231378854684,0.0042673669824776495,50423.64866056103,232.8911758742227,430.0,563.1680689307923,-0.14750000000000002,1.0043717955915668,0.1315324659271738,21.49008915176521,13.440111450148873,0.14402661986637275,0.0,0.0
46,33,calendar,2026-04-17,92.42,108.42608379081311,9142.809207327678,9198.805842840073,798.8058428400727,55.99663551239428,450.0,250.0,42.809207327677946,0.3935893487578345,742.809207327678,0.9298995669419438,0.9226998880552348,0.9226998880552348,0.0038767501697664075,50380.839453233355,230.1262230677314,430.0,571.0679340921961,-0.14966666666666667,1.0040356759736364,0.12325932017626323,21.408908990657835,13.505062145697707,0.13295332711346283,0.0,0.0
49,34,calendar,2026-04-20,93.8,108.38184913957521,9136.060162206804,9183.318804364331,783.3188043643313,47.25864215752699,450.0,250.0,36.06016220680423,0.39115534380466405,736.0601622068042,0.9396686995202702,0.9286389720679972,0.9286389720679972,0.00593908401276233,50344.77929102655,221.78704850387086,430.0,594.8941471317976,-0.15616666666666668,1.0031745751590992,0.09969556050535631,21.163872958175794,13.679602883996761,0.1045847913289451,0.0,0.0
50,35,calendar,2026-04-21,99.06,108.33897326094753,9133.969468829519,9178.513663376742,778.5136633767415,44.544194547223015,450.0,250.0,33.969468829517616,0.39042483427410213,733.9694688295176,0.9427830279124235,0.9335893916135464,0.9335893916135464,0.004950419545549201,50310.80982219703,219.19966489516838,430.0,602.2866717280904,-0.15833333333333333,1.0029305022221975,0.09268334003753612,21.08194774866861,13.731611335268171,0.0965439304591845,0.0,0.0
51,36,calendar,2026-04-22,101.55,108.29511428823554,9131.881352152806,9173.71096859785,773.7109685978503,41.82961644504394,450.0,250.0,31.881352152807015,0.38970611162304375,731.881352152807,0.9459363791612667,0.9379108372552485,0.9379108372552485,0.004321445641702115,50278.92847004422,216.6135984757656,430.0,609.675432926384,-0.1605,1.0027051945044327,0.08586017439088785,20.999999770323523,13.780809222211541,0.08912128035128784,0.0,0.0
52,37,calendar,2026-04-23,106.01,108.25005005667464,9129.804874628297,9168.931668558303,768.9316685583035,39.1267939300069,450.0,250.0,29.804874628296243,0.3890020685183103,729.8048746282963,0.9491153823806381,0.9418324280491348,0.9418324280491348,0.00392159079388632,50249.12359541593,214.04012922370194,430.0,617.0282022179945,-0.16266666666666668,1.0024972092671973,0.07924258171887982,20.918076892726404,13.827348429215826,0.08226931070317989,0.0,0.0
53,38,calendar,2026-04-24,105.88,108.20364813435148,9127.741019522571,9164.178152821833,764.1781528218326,36.437133299261404,450.0,250.0,27.74101952257196,0.3883127377714469,727.741019522572,0.9523185357174744,0.9455025657330537,0.9455025657330537,0.0036701376839188837,50221.38257589335,211.48054382714028,430.0,624.3413033510278,-0.16483333333333333,1.002305214694898,0.07282526620692722,20.83622026862509,13.871372632756941,0.07594414551606636,0.0,0.0
56,39,calendar,2026-04-27,101.97,108.1276292864109,9121.225831612493,9149.151596340149,749.1515963401489,27.925764727655405,450.0,250.0,21.22583161249412,0.3862036165214557,721.2258316124942,0.9627234796480696,0.9515298856033092,0.9515298856033092,0.00602731987025551,50200.15674428086,203.38932110623375,430.0,647.4590825536179,-0.17133333333333334,1.0018133461047467,0.053696518836784626,20.591377111977838,13.989678016928181,0.05973978074783035,0.0,0.0
57,40,calendar,2026-04-28,104.48,108.05748706843437,9119.319259727474,9144.748578224062,744.7485782240619,25.429318496588166,450.0,250.0,19.319259727473707,0.3856052876039261,719.3192597274738,0.9658551634200803,0.956543732839179,0.956543732839179,0.005013847235869839,50180.83748455338,201.01846519757137,430.0,654.2329565783675,-0.1735,1.0016739294309482,0.0482856589746887,20.510092310793034,14.024929843337175,0.05514676813787585,0.0,0.0
58,41,calendar,2026-04-29,112.49,107.990583194442,9117.398284754492,9140.309768689485,740.3097686894853,22.911483934993157,450.0,250.0,17.39828475449238,0.385010917530443,717.3982847544924,0.9690514904651989,0.9609214480082859,0.9609214480082859,0.004377715169106899,50163.43919979889,198.62833698664565,430.0,661.0618943238696,-0.1756666666666667,1.001545231620406,0.04296816219144489,20.429006862935417,14.058276642325017,0.050906883118466924,0.0,0.0
59,42,calendar,2026-04-30,110.86,107.92581975258169,9115.47337287451,9135.859365788538,735.8593657885376,20.385992914027156,450.0,250.0,15.473372874510599,0.38442377467301114,715.4733728745106,0.9722963464735117,0.964902662471115,0.964902662471115,0.0039812144628290635,50147.96582692438,196.23196619382773,430.0,667.9086680176351,-0.17783333333333334,1.0014264285677503,0.0377660549328679,20.348137064058943,14.089821362585301,0.0469929759502507,0.0,0.0
60,43,calendar,2026-05-01,109.2,107.86239656053765,9113.548789454777,9131.407273686122,731.4072736861217,17.858484231344846,450.0,250.0,13.548789454776148,0.3838450919032923,713.5487894547762,0.9755833926270067,0.9686409180256771,0.9686409180256771,0.0037382555545620866,50134.417037469604,193.83468583098866,430.0,674.7580404828896,-0.18,1.0013167595278432,0.032685490764418894,20.267496810365643,14.11966138940953,0.04337998426503046,0.0,0.0
63,44,calendar,2026-05-04,114.06,107.7721922059272,9113.825988028017,9132.048659464828,732.0486594648282,18.222671436811652,450.0,250.0,13.825988028015722,0.3839279280509173,713.8259880280157,0.9751072948482217,0.9709041499135677,0.9709041499135677,0.002263231887890571,50120.59104944159,194.180047404138,430.0,673.7712931310343,-0.18,1.0010357997309263,0.033352044397224515,20.0270628795019,14.199849911930412,0.03412390423550164,0.0,0.0
64,45,calendar,2026-05-05,110.31,107.69069192233648,9114.220605552297,9132.961644637942,732.9616446379423,18.741039085645752,450.0,250.0,14.22060555229565,0.38404614928509184,714.2206055522956,0.9744310780478778,0.9721385747605762,0.9721385747605762,0.0012344248470085306,50106.37044388929,194.67165480504602,430.0,672.3667005570114,-0.18,1.000956163663201,0.03430078678650313,19.947442374140206,14.223743937512614,0.03150033380232373,0.0,0.0
