day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,事件段,机制模型误差,在线校正系数,预测误差校正量,online_corrected_price,在线校正后误差,分段校正基础系数,分段校正平台增量,分段校正再定价增量,分段校正尾段增量,分段预测误差校正量,regime_corrected_price,分段校正后误差
44,31,calendar,2026-04-15,94.87,95.3726185345066,9543.131646892502,9258.532346258144,680.1548957714931,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4184330692959848,1.4363440356377424,1.4363440356377424,-0.0096443664917156,54489.3741909565,262.286647985155,430.0,479.1810057567,-0.1772871553690094,1.000714625355118,0.0,20.61009260319487,19.23682905368294,0.023542975011687,2.608466427986508,17.562045978089238,36003,中期再定价回落,0.5026185345065954,0.2755569557204314,0.33998634609745704,95.03263218840914,0.16263218840913396,0.04069539940349949,0.3023336953769879,0.3286528586872368,0.0,0.4557074757101449,94.91691105879646,0.04691105879645363
45,32,calendar,2026-04-16,98.21,95.50722936091172,9543.131646892502,9267.536366970968,689.1589164843153,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3999009130251985,1.423588942723352,1.423588942723352,-0.0127550929143904,54489.3741909565,267.1349668305211,430.0,465.3286661985112,-0.1801800452637597,1.0006353043184055,0.0,20.53291667603241,19.335608423174634,0.0209297831177163,2.450376511142042,14.865191687953928,36003,中期再定价回落,-2.7027706390882713,0.2760215950884822,0.13873356961554578,95.36849579129618,-2.8415042087038103,0.040701970104810026,0.30232720092199705,0.3290216979220274,0.0,0.18582996819605202,95.32139939271568,-2.8886006072843173
46,33,calendar,2026-04-17,92.42,96.39895044334624,9543.131646892502,9261.197901836724,682.8204513500714,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4128958710863733,1.4198463676504094,1.4198463676504094,-0.0037425750729425,54489.3741909565,263.72194714285104,430.0,475.08015102042555,-0.1830729351585099,1.000564787652851,0.0,20.455352294051817,19.429049703077947,0.0186066468293486,2.3019169284057295,12.582911743766688,36003,中期再定价回落,3.9789504433462355,0.27271643707848053,-0.7370899789324812,97.13604042227873,4.7160404222787236,0.04053741878762158,0.3024898427881626,0.3197847871192211,0.0,-0.9738682787365328,97.37281872208277,4.9528187220827675
49,34,calendar,2026-04-20,93.8,98.73904623975848,9543.131646892502,9235.931218118183,657.5537676315325,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4671867821255649,1.4364155127167135,1.4364155127167135,0.0165691450663043,54489.3741909565,250.11680975594572,430.0,513.9519721258694,-0.1917516048427605,1.0003968216448085,0.0,20.22123021098144,19.68015263344873,0.0130730906773918,1.908493279803838,7.67669782183849,36003,后期二次抬升,4.939046239758483,0.2437088497381115,0.9697054357128598,97.76934080404563,3.969340804045629,0.039088764742828117,0.3039216866730931,0.23846615397472834,0.0,0.15553225780333263,98.58351398195515,4.783513981955153
50,35,calendar,2026-04-21,99.06,100.73057736826212,9543.131646892502,9202.328788418408,623.9513379317559,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.458670083265864,1.458670083265864,0.0222545705491501,54489.3741909565,232.0231937637583,430.0,565.6480178178335,-0.1946444947375107,1.000352775762542,0.0,20.14295396519214,19.754974561243728,0.0116220211090664,1.792971409827724,6.511545217389358,36003,后期二次抬升,1.6705773682621157,0.27840166670744176,1.3750387050938846,99.35553866316823,0.2955386631682302,0.05748868771644866,0.28573527613038324,0.2202937140858536,0.35,2.012605470810044,98.71797189745207,-0.34202810254792837
51,36,calendar,2026-04-22,101.55,102.43450132494962,9543.131646892502,9172.903030659534,594.5255801728817,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4731355541228115,1.4731355541228115,0.0144654708569476,54489.3741909565,216.17855497051835,430.0,610.9184143699476,-0.1975373846322609,1.0003136188266577,0.0,20.06465596469312,19.82575307232327,0.0103320154348178,1.6843965407988937,5.497232619458243,36003,后期二次抬升,0.8845013249496247,0.2814449381297241,0.47017554405144846,101.96432578089818,0.4143257808981815,0.04982618667355332,0.293308861625813,0.227861481614016,0.35,0.667940578695382,101.76656074625424,0.21656074625424537
52,37,calendar,2026-04-23,106.01,103.88854337908198,9543.131646892502,9146.806671380666,568.4292208940133,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4825381101798274,1.4825381101798274,0.0094025560570158,54489.3741909565,202.1266692049739,430.0,651.0666594143604,-0.2004302745270111,1.0002788081803728,0.0,19.986381946950186,19.89270667507408,0.0091851960982962,1.582374865075701,4.645221981148958,36003,后期二次抬升,-2.121456620918025,0.28287967477703474,0.2502074471416062,103.63833593194038,-2.37166406805963,0.049683461075487136,0.29344993103817446,0.22800244265799327,0.35,0.35352055088172013,103.53502282820025,-2.4749771717997504
53,38,calendar,2026-04-24,105.88,105.12740029071632,9543.131646892502,9123.531334239397,545.1538837527423,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4886497716168878,1.4886497716168878,0.0061116614370604,54489.3741909565,189.59379535967375,430.0,686.8748704009322,-0.2033231644217614,1.000247861400004,0.0,19.908171231760317,19.95604206957363,0.0081656698924244,1.4865212895292983,3.92764291883263,36003,后期二次抬升,-0.7525997092836718,0.2785384567957314,-0.5909072533495936,105.71830754406592,-0.1616924559340731,0.048785406957426954,0.2943375641496842,0.22888939389690885,0.35,-0.8460059419153223,105.97340623263165,0.09340623263165071
56,39,calendar,2026-04-27,101.97,106.52882588030718,9543.131646892502,9090.023943876817,511.6464933901643,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4926223515509771,1.4926223515509771,0.0039725799340892,54489.3741909565,171.5513543952091,430.0,738.424701727974,-0.212001834106012,1.0001741482271036,0.0,19.67423343380001,20.126242040844183,0.0057372262678159,1.2323799942743463,2.380479431190043,36003,后期二次抬升,4.558825880307182,0.2792417843325788,-0.21015728570855258,106.73898316601573,4.76898316601573,0.048403492473511486,0.29471504690364203,0.22926658667166094,0.35,-0.29983835261316427,106.82866423292035,4.858664232920347
57,40,calendar,2026-04-28,104.48,107.60655267894572,9543.131646892502,9066.63628144655,488.25883095989775,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4952045285081352,1.4952045285081352,0.0025821769571581,54489.3741909565,158.95799770198823,430.0,774.4057208514623,-0.2148947240007622,1.0001548183533222,0.0,19.59656907243004,20.17695706014847,0.0051004132410217,1.157719034023974,2.014065582381819,36003,后期二次抬升,3.126552678945714,0.2718912405306063,1.2395048239597533,106.36704785498597,1.8870478549859655,0.04713091140669412,0.2959728609587987,0.23052343448420962,0.35,1.810450676790816,105.7961020021549,1.3161020021548921
58,41,calendar,2026-04-29,112.49,108.44567911066606,9543.131646892502,9047.01561164122,468.6381611545676,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.496882943530288,1.496882943530288,0.0016784150221527,54489.3741909565,148.3930216529645,430.0,804.5913667058157,-0.2177876138955125,1.000137634031216,0.0,19.519095185153848,20.224931412875144,0.0045342843413935,1.087579502101064,1.704337666715228,36003,后期二次抬升,-4.044320889333932,0.28879032224178736,0.9029181556586563,107.54276095500741,-4.947239044992585,0.04802623071599879,0.2950879309213646,0.22963918424288993,0.35,1.2444499779357707,107.20122913273029,-5.2887708672697045
59,42,calendar,2026-04-30,110.86,109.10659647517777,9543.131646892502,9030.134057006788,451.7566065201354,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4979739132946872,1.4979739132946872,0.0010909697643992,54489.3741909565,139.3029537728862,430.0,830.5629892203251,-0.2206805037902626,1.0001223571116875,0.0,19.44182734181399,20.270313206101616,0.0040309938659967,1.021688287303924,1.4423979088647338,36003,后期二次抬升,-1.7534035248222324,0.25897803236741634,-1.047390266182141,110.1539867413599,-0.7060132586400982,0.04419900721156513,0.29887074338151065,0.23341909077702708,0.2919050153003232,-1.359312519233992,110.46590899441176,-0.39409100558823695
