sample_id,stress_index,raw_stress_index,historical_stress_noise_sigma,historical_event_volatility_percentile,路径类别,supply_interruption,spr_max_release,route_max_capacity,long_elasticity,fear_decay,risk_weight,uncertainty_floor,pressure_scale,relief_discount_strength,buffer_relief_strength,第90天价格,第120天价格,第150天价格,第180天价格,外推期最高价,外推期最低价,外推期均价,第180天剩余供需缺口,第180天SPR实际释放,第180天制度风险溢价,第180天冲击不确定性溢价,二次跳涨幅度,二次跳涨风险,是否突破120,是否突破130,是否高缺口
1097,0.603067753978048,0.5866854961435919,0.0734342963653308,0.9552656104380244,中性附近,1687.8424697094197,371.6264548435597,214.06940399856163,-0.1956814691623426,0.09559118638546334,2.261848182039468,0.31781453614734684,0.025059380153887874,0.1837898921125933,0.16889937839505373,99.58230987611995,100.81512246731872,98.8026667223194,100.0352051832294,110.43068434218384,96.91466951796485,100.56534859830528,266.19884147540324,0.0,9.939932592721295,1.635780445743918,0.10671764529772076,中,False,False,False
1098,0.12648215656910852,0.18384766041154102,0.0734342963653308,0.9552656104380244,缓和路径,1425.5660926007413,695.0398321606575,325.21190533134205,-0.34125044068398364,0.13806559559303339,1.7526724802303897,0.20572023171479092,0.02300899195136169,0.266143883344858,0.23994256544314826,91.85279657077807,91.7142786563921,90.1389185117579,88.1787694481725,100.04651480429833,88.1787694481725,90.85498797733408,0.0,82.93372036493523,4.670489248195936,1.0256460048946594,0.0,低,False,False,False
1099,0.3221433832278449,0.27971323049974733,0.0734342963653308,0.9552656104380244,缓和路径,1546.5848457514226,591.8127958194518,267.1113098231712,-0.2506909612844057,0.12105276864268427,2.1032784370232083,0.3046224926065887,0.023658559407583865,0.23233362337822838,0.2107759326301788,98.29635436920398,98.56081098376174,96.25575225391897,93.6383122765948,102.70606095202926,93.6383122765948,97.03102345323545,0.0,152.763683483287,7.035922993143874,1.5187365867648743,0.0,低,False,False,False
1100,0.1717587019021747,0.3483236793710632,0.0734342963653308,0.9552656104380244,缓和路径,1501.73894060539,599.9932283807377,332.2751144840824,-0.2949754500676467,0.14297813710956153,1.6616340331431365,0.274982397734199,0.02376023814695279,0.2583200963113042,0.23319332648906274,94.58554674470602,94.27008074143289,92.3398320861298,89.93830492756709,101.34055137525397,89.93830492756709,93.25131119216692,0.0,116.95836804124329,6.124403438324579,1.3709618898516807,0.0,低,False,False,False
1101,0.46694119705935955,0.5641521164779814,0.0734342963653308,0.9552656104380244,中性附近,1588.4932019776459,432.30664622191637,246.63117527133645,-0.2523046856663408,0.0958753015334029,2.338052002877486,0.2935727766091217,0.024878799111706304,0.20731256114814264,0.1891913563691369,99.45999173649118,100.46171455542155,98.47488721746653,95.90311600571937,107.40394092122328,95.90311600571937,99.16340939956655,0.0,170.6657366847865,7.391533147344327,1.511008946290947,0.0,低,False,False,False
1102,0.7906716108321791,0.7733163752174033,0.0734342963653308,0.9552656104380244,高压尾部,1676.0638224268343,367.1815211722604,176.0815426716911,-0.13401756631869052,0.06173366564645592,2.8145521066917056,0.36,0.027833938497783837,0.15137194564819945,0.14093383355716435,110.18102471368266,105.59218334144123,103.84907623276473,106.29352703949361,121.08162142808702,103.51301558605769,108.23397889304212,370.62104111016924,0.0,11.598103585314798,1.8787204346401214,10.757654731200901,中,True,False,False
1103,0.7785431231490683,0.7764484460766264,0.0734342963653308,0.9552656104380244,高压尾部,1759.1724038096656,319.26506692261404,199.30655582685338,-0.13019718593281893,0.07542672210141518,2.4415246723679536,0.36,0.02669057110427048,0.153467748319841,0.14274179087640834,107.62111197744835,104.38918362931565,104.74192889911883,104.98867776483642,118.13392204588003,103.1391006844836,106.88287297648209,445.2415527271405,0.0,11.558254654439246,1.8787204346401214,7.80995534899391,中,False,False,False
1104,0.3211449188245911,0.37553566261004806,0.0734342963653308,0.9552656104380244,缓和路径,1505.3688123589573,585.243773138286,296.1720591651314,-0.2899689940284145,0.11336303306367257,1.9583159220816257,0.28631625768131136,0.023837592235484737,0.23250615802711064,0.21092477072714788,95.65729563209267,96.19071052472914,94.5069326903721,92.08935674189246,101.281255380714,92.08935674189246,94.84962125534028,0.0,115.60548529580541,6.71664594497494,1.4274683796504455,0.0,低,False,False,False
1105,0.32346217202699057,0.28636832842995436,0.0734342963653308,0.9552656104380244,缓和路径,1557.9455147218362,621.2049199098811,310.7918681008765,-0.2804674734393868,0.10569451303201444,1.9559085991082288,0.2851618275025283,0.02317925449014909,0.23210573667373602,0.21057934473527806,96.67617683604554,97.22510698109646,95.07932575154807,92.60788989059535,101.94737693289993,92.60788989059535,95.6727741948571,0.0,162.40037462203335,6.868386068617118,1.4217128120481288,0.0,低,False,False,False
1106,0.7783600743151472,0.749585315602437,0.0734342963653308,0.9552656104380244,高压尾部,1650.3204056494178,372.47721406156865,188.2704959094341,-0.17310027336159647,0.07291414964004753,2.5500734921062924,0.36,0.02719831559673386,0.15349937915834255,0.14276907741762546,107.43550096274683,104.03335349172204,101.72691309032155,103.3660165764533,118.32306056645787,99.6222468026938,105.25610583325687,272.36657191650556,0.0,11.622947919854045,1.8787204346401214,7.999093869571752,中,False,False,False
